"name","city","state","zipcode","address","phone_no","page_url"
"WORK ENVIRONMENTAL SYSTEMS INC","Denton","Texas","76205","Denton Texas, US-76205","940-387-1911","https://www.trane.com/residential/en/dealers/work-environmental-systems-inc-denton-tx/"
"Worcester Heating and Air Conditioning LLC","Eagleville","Pennsylvania","19403","Eagleville Pennsylvania, US-19403","610-631-2733","https://www.trane.com/residential/en/dealers/worcester-heating-and-air-conditioning-llc-eagleville-pa/"
"Woods Family Heating & Air Conditioning","Roanoke","Virginia","24019","Roanoke Virginia, US-24019","540-992-3944","https://www.trane.com/residential/en/dealers/woods-family-heating-and-air-conditioning-roanoke-va/"
"Woodruff And Smith Heating and Cooling Inc","Bethel Park","Pennsylvania","15102","Bethel Park Pennsylvania, US-15102","412-831-6463","https://www.trane.com/residential/en/dealers/woodruff-and-smith-heating-and-cooling-inc-bethel-park-pa/"
"WOODALL-OZARK","Ozark","Alabama","36360","Ozark Alabama, US-36360","334-774-2934","https://www.trane.com/residential/en/dealers/woodall-ozark-ozark-al/"
"WOODALL HTG. & CLG., INC.","Enterprise","Alabama","36331","Enterprise Alabama, US-36331","334-347-1243","https://www.trane.com/residential/en/dealers/woodall-htg-and-clg-inc-enterprise-al/"
"WOLFGANGS COOLING & HEATING CORP.","Tempe","Arizona","85281","Tempe Arizona, US-85281","480-894-1870","https://www.trane.com/residential/en/dealers/wolfgangs-cooling-and-heating-corp-tempe-az/"
"WM. MASTERS INC","Bloomington","Illinois","61704","Bloomington Illinois, US-61704","309-662-8481","https://www.trane.com/residential/en/dealers/wm-masters-inc-bloomington-il/"
"Wise Heating and Cooling","Galena","Ohio","43021","Galena Ohio, US-43021","740-965-5545","https://www.trane.com/residential/en/dealers/wise-heating-and-cooling-galena-oh/"
"Wisdom Refrigeration","Weatherford","Oklahoma","73096","Weatherford Oklahoma, US-73096","580-323-2003","https://www.trane.com/residential/en/dealers/wisdom-refrigeration-weatherford-ok/"
"Winters Home Services","Cambridge","Massachusetts","02472","Cambridge Massachusetts, US-02472","617-484-2121","https://www.trane.com/residential/en/dealers/winters-home-services-cambridge-ma/"
"WIMPYS REF. HEATING & CLG.","Hamlet","North Carolina","28345","Hamlet North Carolina, US-28345","910-582-2250","https://www.trane.com/residential/en/dealers/wimpys-ref-heating-and-clg-hamlet-nc/"
"Wilson-Rhodes Electrical Contractors","Greenville","North Carolina","27834","Greenville North Carolina, US-27834","252-756-0106","https://www.trane.com/residential/en/dealers/wilson-rhodes-electrical-contractors-greenville-nc/"
"Wilson Heating and Cooling","Lexington","South Carolina","29072","Lexington South Carolina, US-29072","803-996-3322","https://www.trane.com/residential/en/dealers/wilson-heating-and-cooling-sc/"
"WILSON AIR CONDITIONING, INC.","Longview","Texas","75605","Longview Texas, US-75605","903-663-9000","https://www.trane.com/residential/en/dealers/wilson-air-conditioning-inc-longview-tx/"
"WILSON AC & APPLIANCE","Dripping Springs","Texas","78620","Dripping Springs Texas, US-78620","512-894-0907","https://www.trane.com/residential/en/dealers/wilson-ac-and-appliance-dripping-springs-tx/"
"WILLIAMS HEATING & COOLING","Sevierville","Tennessee","37876","Sevierville Tennessee, US-37876","865-453-1362","https://www.trane.com/residential/en/dealers/williams-heating-and-cooling-sevierville-tn/"
"William C Fox Heating and AC","Edgewater Park","New Jersey","08016","Edgewater Park New Jersey, US-08016","609-877-6659","https://www.trane.com/residential/en/dealers/william-c-fox-heating-and-ac-edgewater-park-nj/"
"Wighton’s – Heating & Air Conditioning *installation *service *repair","San Luis Obispo","California","93401","San Luis Obispo California, US-93401","805-781-2574","https://www.trane.com/residential/en/dealers/wightons-heating-and-air-conditioning-installation-service-repair-san-luis-obispo-ca/"
"Wicomico Heating & Air","Salisbury","Maryland","21804","Salisbury Maryland, US-21804","410-742-5542","https://www.trane.com/residential/en/dealers/wicomico-heating-and-air-salisbury-md/"
"WICKENBURG AIR, INC","Wickenburg","Arizona","85390","Wickenburg Arizona, US-85390","928-684-9616","https://www.trane.com/residential/en/dealers/wickenburg-air-inc-wickenburg-az/"
"Wichita Heating and Air Conditioning","Derby","Kansas","67037","Derby Kansas, US-67037","316-558-6336","https://www.trane.com/residential/en/dealers/wichita-heating-and-air-conditioning-derby-ks/"
"White’s Heating and Sheet Metal","Seaside","Oregon","97138","Seaside Oregon, US-97138","503-738-6361","https://www.trane.com/residential/en/dealers/whites-heating-and-sheet-metal-seaside-or/"
"WESTSIDE HEATING & AIR CONDITIONING","Santa Monica","California","90405","Santa Monica California, US-90405","310-453-2880","https://www.trane.com/residential/en/dealers/westside-heating-and-air-conditioning-santa-monica-ca/"
"Westshore Mechanical LLC","Spring Lake","Michigan","49456","Spring Lake Michigan, US-49456","616-837-8088","https://www.trane.com/residential/en/dealers/westshore-mechanical-spring-lake-mi/"
"Westland Heating and Air Conditioning","Westlake","Ohio","44145","Westlake Ohio, US-44145","440-871-7525","https://www.trane.com/residential/en/dealers/westland-heating-and-air-conditioning-westlake-oh/"
"Westin Air","Westerville","Ohio","43082","Westerville Ohio, US-43082","614-794-1259","https://www.trane.com/residential/en/dealers/westin-air-westerville-oh/"
"Western Hills Heating & Air Conditioning, Inc.","West Harrison","Indiana","47060","West Harrison Indiana, US-47060","812-637-5552","https://www.trane.com/residential/en/dealers/western-hills-heating-and-air-conditioning-inc-west-harrison-in/"
"West Mechanical Inc","Bellingham","Washington","98226","Bellingham Washington, US-98226","360-734-7599","https://www.trane.com/residential/en/dealers/west-mechanical-inc-bellingham-wa/"
"West Coast Heating, Air Conditioning & Solar PV","El Cajon","California","92020","El Cajon California, US-92020","619-677-6335","https://www.trane.com/residential/en/dealers/west-coast-heating-air-conditioning-and-solar-pv-el-cajon-ca/"
"WESSON AIR Inc.","Longwood","Florida","32750","Longwood Florida, US-32750","407-831-5061","https://www.trane.com/residential/en/dealers/wesson-air-inc-longwood-fl/"
"WESCO, INC.","Oxford","North Carolina","27565","Oxford North Carolina, US-27565","919-693-3083","https://www.trane.com/residential/en/dealers/wesco-inc-oxford-nc/"
"WEEKE SALES & SERVICE, INC.","Okawville","Illinois","62271","Okawville Illinois, US-62271","618-243-5333","https://www.trane.com/residential/en/dealers/weeke-sales-and-service-inc-okawville-il/"
"Weber & Grahn Conditioning Corp","Hampton Bays","New York","11946","Hampton Bays New York, US-11946","631-728-1166","https://www.trane.com/residential/en/dealers/weber-grahn-conditioning-corp-hampton-bays-ny/"
"Webb Heating & Air Conditioning","Advance","North Carolina","27006","Advance North Carolina, US-27006","336-998-2121","https://www.trane.com/residential/en/dealers/webb-heating-and-air-conditioning-advance-nc/"
"WEATHERMAKERS","Miami","Florida","33186","Miami Florida, US-33186","305-233-5820","https://www.trane.com/residential/en/dealers/weathermakers-miami-fl/"
"Weather Control A/C Inc.","Fort Myers","Florida","33906","Fort Myers Florida, US-33906","239-936-0333","https://www.trane.com/residential/en/dealers/weather-control-a-c-inc-fort-myers-fl/"
"We Care Heating and Air (Macon)","Macon","Georgia","31220","Macon Georgia, US-31220","478-218-2273","https://www.trane.com/residential/en/dealers/we-care-heating-and-air-macon-ga/"
"We Care Heating and Air","Warner Robins","Georgia","31088","Warner Robins Georgia, US-31088","478-218-2273","https://www.trane.com/residential/en/dealers/we-care-heating-and-air-warner-robins-ga/"
"We Care Heating & Air","Niceville","Florida","32578","Niceville Florida, US-32578","850-678-2273","https://www.trane.com/residential/en/dealers/we-care-heating-and-air-niceville-fl/"
"WAYNES HEATING & COOLING","Moberly","Missouri","65270","Moberly Missouri, US-65270","660-263-5517","https://www.trane.com/residential/en/dealers/waynes-heating-and-cooling-moberly-mo/"
"Wayne Lucas Burner Services Ltd.","Peterborough","Ontario","K9J6W7","Peterborough Ontario, CA-K9J6W7","705-742-1920","https://www.trane.com/residential/en/dealers/wayne-lucas-burner-services-ltd-peterborough-ontario/"
"Watkins Heating & Cooling","Springboro","Ohio","45066","Springboro Ohio, US-45066","937-748-0220","https://www.trane.com/residential/en/dealers/watkins-heating-and-cooling-springboro-oh/"
"Waterloo Energy Products","Maryhill","Ontario","N0B2B0","Maryhill Ontario, CA-N0B2B0","519-648-9977","https://www.trane.com/residential/en/dealers/waterloo-energy-products-maryhill-ontario/"
"WASDEN HEATING & COOLING INC","Monroeville","Alabama","36460","Monroeville Alabama, US-36460","251-765-2012","https://www.trane.com/residential/en/dealers/wasden-heating-and-cooling-inc-monroeville-al/"
"WARREN-HAY MECHANICAL CONTRS.","Hillsborough","North Carolina","27278","Hillsborough North Carolina, US-27278","919-732-4362","https://www.trane.com/residential/en/dealers/warren-hay-mechanical-contrs-hillsborough-nc/"
"Warner Service Company","Frederick","Maryland","21701","Frederick Maryland, US-21701","844-449-2763","https://www.trane.com/residential/en/dealers/warner-service-company-frederick-md/"
"WARDS HTG AND AIR COND., INC.","Lakeland","Florida","33813","Lakeland Florida, US-33813","863-646-0020","https://www.trane.com/residential/en/dealers/wards-htg-and-air-cond-inc-lakeland-fl/"
"Ward Plumbing and Heating","Sylva","North Carolina","28779","Sylva North Carolina, US-28779","828-586-9273","https://www.trane.com/residential/en/dealers/ward-plumbing-and-heating-sylva-nc/"
"WALLER HEATING & AC CO.","Valdosta","Georgia","31601","Valdosta Georgia, US-31601","229-244-1200","https://www.trane.com/residential/en/dealers/waller-heating-and-ac-co-valdosta-ga/"
"Waller Heating & A/C, Inc. of Thomasville","Thomasville","Georgia","31757","Thomasville Georgia, US-31757","229-244-1200","https://www.trane.com/residential/en/dealers/waller-heating-and-a-c-inc-of-thomasville-thomasville-ga/"
"WALLACE A/C & HEATING INC.","Indian Harbour Beach","Florida","32937","Indian Harbour Beach Florida, US-32937","321-773-7696","https://www.trane.com/residential/en/dealers/wallace-a-c-and-heating-inc-indian-harbour-beach-fl/"
"Walker Electric Company","Oxford","Mississippi","38655","Oxford Mississippi, US-38655","662-234-2521","https://www.trane.com/residential/en/dealers/walker-electric-company-oxford-ms/"
"WAHL HTG & CLG, INC.","Carnegie","Pennsylvania","15106","Carnegie Pennsylvania, US-15106","412-276-9245","https://www.trane.com/residential/en/dealers/wahl-htg-and-clg-inc-carnegie-pa/"
"Waggoners Heat & Air","Norman","Oklahoma","73071","Norman Oklahoma, US-73071","405-329-2076","https://www.trane.com/residential/en/dealers/waggoners-heat-and-air-norman-ok/"
"WADE HEATING & AIR CONDITIONING, INC","Hueytown","Alabama","35023","Hueytown Alabama, US-35023","205-744-5351","https://www.trane.com/residential/en/dealers/wade-heating-and-air-conditioning-inc-hueytown-al/"
"Waccamaw Heating & Cooling, llc","Pawleys Island","South Carolina","29585","Pawleys Island South Carolina, US-29585","843-235-8082","https://www.trane.com/residential/en/dealers/waccamaw-heating-and-cooling-llc-pawleys-island-sc/"
"W. W. Gay Mechanical","Jacksonville","Florida","32084","Jacksonville Florida, US-32084","904-388-2696","https://www.trane.com/residential/en/dealers/w-w-gay-mechanical-jacksonville-fl/"
"Vorpagel Service Inc","Burlington","Wisconsin","53105","Burlington Wisconsin, US-53105","262-763-2573","https://www.trane.com/residential/en/dealers/vorpagel-service-inc-burlington-wi/"
"Viviano Heating & Ac, Inc","Collinsville","Illinois","62234","Collinsville Illinois, US-62234","618-345-7498","https://www.trane.com/residential/en/dealers/viviano-heating-and-ac-inc-collinsville-il/"
"Vilandre Fuel & Heating Inc.","Grand Forks","North Dakota","58203","Grand Forks North Dakota, US-58203","701-775-4675","https://www.trane.com/residential/en/dealers/vilandre-fuel-and-heating-inc-grand-forks-nd/"
"Victory Heating & Cooling","Saint Johns","Michigan","48879","Saint Johns Michigan, US-48879","989-224-7171","https://www.trane.com/residential/en/dealers/victory-heating-and-cooling-saint-johns-mi/"
"VICKSBURG COOLING & HEATING","Vicksburg","Mississippi","39183","Vicksburg Mississippi, US-39183","601-636-3193","https://www.trane.com/residential/en/dealers/vicksburg-cooling-and-heating-vicksburg-ms/"
"Vic’s Air Conditioning","Thousand Palms","California","92276","Thousand Palms California, US-92276","760-343-5033","https://www.trane.com/residential/en/dealers/vics-air-conditioning-thousand-palms-ca/"
"Veteran Air Conditioning","Bradenton","Florida","34203","Bradenton Florida, US-34203","941-344-9070","https://www.trane.com/residential/en/dealers/veteran-air-conditioning-bradenton-fl/"
"Venice Cooling & Heating, Inc.","Venice","Florida","34285","Venice Florida, US-34285","941-485-8572","https://www.trane.com/residential/en/dealers/venice-cooling-and-heating-inc-venice-fl/"
"Vaughan Heating and Air Conditioning","Magnolia","New Jersey","08049","Magnolia New Jersey, US-08049","856-627-0303","https://www.trane.com/residential/en/dealers/vaughan-heating-and-air-conditioning-magnolia-nj/"
"Valley Heating & Cooling","Alexandria","Alabama","36250","Alexandria Alabama, US-36250","256-820-3369","https://www.trane.com/residential/en/dealers/valley-heating-and-cooling-alexandria-al/"
"VALLEY HEATING & AC INC","Mcmurray","Pennsylvania","15317","Mcmurray Pennsylvania, US-15317","724-941-9793","https://www.trane.com/residential/en/dealers/valley-heating-and-ac-inc-mcmurray-pa/"
"VALLEY AIR COND & REPAIR","Fresno","California","93721","Fresno California, US-93721","559-237-3188","https://www.trane.com/residential/en/dealers/valley-air-cond-and-repair-fresno-ca/"
"Valley A/C & Heating, Inc.","Simsbury","Connecticut","06070","Simsbury Connecticut, US-06070","860-658-0371","https://www.trane.com/residential/en/dealers/valley-a-c-and-heating-inc-simsbury-ct/"
"Vailes Heating & Air","Fishersville","Virginia","22939","Fishersville Virginia, US-22939","540-942-0198","https://www.trane.com/residential/en/dealers/vailes-heating-and-air-fishersville-va/"
"V.L. Jenkins Heating & Air, Inc.","Fredericksburg","Virginia","22551","Fredericksburg Virginia, US-22551","540-898-4747","https://www.trane.com/residential/en/dealers/vl-jenkins-heating-and-air-inc-fredericksburg-va/"
"USA Heating & Cooling","Marion","Ohio","43302","Marion Ohio, US-43302","740-751-4400","https://www.trane.com/residential/en/dealers/usa-heating-and-cooling-marion-oh/"
"UNIVERSAL SERVICES, LLC","Leakesville","Mississippi","39451","Leakesville Mississippi, US-39451","877-394-4510","https://www.trane.com/residential/en/dealers/universal-services-llc-leakesville-ms/"
"Universal Heating & Cooling","Goodlettsville","Tennessee","37072","Goodlettsville Tennessee, US-37072","615-859-0985","https://www.trane.com/residential/en/dealers/universal-heating-and-cooling-goodlettsville-tn/"
"United Air Conditioning","Largo","Florida","33773","Largo Florida, US-33773","727-531-0496","https://www.trane.com/residential/en/dealers/united-air-conditioning-largo-fl/"
"Unique Indoor Comfort","Saint Louis","Missouri","63117","Saint Louis Missouri, US-63117","314-647-0604","https://www.trane.com/residential/en/dealers/unique-indoor-comfort-saint-louis-mo/"
"Union Services","Monroe","North Carolina","28110","Monroe North Carolina, US-28110","704-283-9047","https://www.trane.com/residential/en/dealers/union-services-monroe-nc/"
"Ultra Mechanical","Stafford","Texas","77099","Stafford Texas, US-77099","281-277-7557","https://www.trane.com/residential/en/dealers/ultra-mechanical-stafford-tx/"
"Ultra Built-In Systems","Brampton","Ontario","L7A0H3","Brampton Ontario, CA-L7A0H3","905-840-9955","https://www.trane.com/residential/en/dealers/ultra-built-in-system-brampton-on/"
"TUFFYS AC AND HTG SVS. INC.","Weatherford","Texas","76085","Weatherford Texas, US-76085","817-596-0150","https://www.trane.com/residential/en/dealers/tuffys-ac-and-htg-svs-inc-weatherford-tx/"
"TUDI MECHANICAL SYSTEMS","Rocks","Pennsylvania","15136","Rocks Pennsylvania, US-15136","412-771-4100","https://www.trane.com/residential/en/dealers/tudi-mechanical-systems-mckees-rocks-pa/"
"True Fix A/C & Heating","Katy","Texas","77494","Katy Texas, US-77494","281-392-9334","https://www.trane.com/residential/en/dealers/true-fix-a-c-and-heating-katy-tx/"
"True Blue Heating & Cooling, LLC","Tulsa","Oklahoma","74106","Tulsa Oklahoma, US-74106","918-347-1052","https://www.trane.com/residential/en/dealers/true-blue-heating-and-cooling-llc-tulsa-ok/"
"TROUTH AC & SHEETMETAL, INC.","Sulphur","Louisiana","70665","Sulphur Louisiana, US-70665","337-527-8683","https://www.trane.com/residential/en/dealers/trouth-ac-and-sheetmetal-inc-sulphur-la/"
"TRITON PLUMBING HEATING","Plainfield","New Jersey","07062","Plainfield New Jersey, US-07062","908-490-1700","https://www.trane.com/residential/en/dealers/triton-plumbing-heating-plainfield-nj/"
"TRIPLE B MAINTENANCE","Napoleonville","Louisiana","70390","Napoleonville Louisiana, US-70390","985-369-2004","https://www.trane.com/residential/en/dealers/triple-b-maintenance-napoleonville-la/"
"Trinity Air Conditioning Company, LLC","Miami","Florida","33186","Miami Florida, US-33186","305-256-9099","https://www.trane.com/residential/en/dealers/trinity-air-conditioning-company-llc-miami-fl/"
"Trinity Air","Peachtree City","Georgia","30269","Peachtree City Georgia, US-30269","770-486-1919","https://www.trane.com/residential/en/dealers/trinity-air-peachtree-city-ga/"
"Triangle Services Heating & Cooling","Belton","South Carolina","29627","Belton South Carolina, US-29627","864-338-0251","https://www.trane.com/residential/en/dealers/triangle-services-heating-and-cooling-belton-sc/"
"Triangle Heating & Cooling LLC","Bellefonte","Pennsylvania","16823","Bellefonte Pennsylvania, US-16823","814-355-7653","https://www.trane.com/residential/en/dealers/triangle-heating-and-cooling-llc-bellefonte-pa/"
"Triangle Heating & Cooling","Elkins","West Virginia","26241","Elkins West Virginia, US-26241","304-637-3030","https://www.trane.com/residential/en/dealers/triangle-heating-and-cooling-elkins-wv/"
"Tri-State Heating & Air","Ashland","Kentucky","41101","Ashland Kentucky, US-41101","606-831-2960","https://www.trane.com/residential/en/dealers/tri-state-heating-and-air-ashland-ky/"
"Tri-State Heating & A/C","Blue Ridge","Georgia","30513","Blue Ridge Georgia, US-30513","706-632-9666","https://www.trane.com/residential/en/dealers/tri-state-heating-and-a-c-blue-ridge-ga/"
"TRI-COUNTY HEATING – COOLING","Cincinnati","Ohio","45069","Cincinnati Ohio, US-45069","513-777-8933","https://www.trane.com/residential/en/dealers/tri-county-heating-cooling-cincinnati-oh/"
"Tri-County Aire Inc","Charlotte Hall","Maryland","20622","Charlotte Hall Maryland, US-20622","301-884-2559","https://www.trane.com/residential/en/dealers/tri-county-aire-inc-charlotte-hall-md/"
"TRI-CITY AIR CONDITIONING","Johnson City","Tennessee","37615","Johnson City Tennessee, US-37615","423-477-7769","https://www.trane.com/residential/en/dealers/tri-city-air-conditioning-johnson-city-tn/"
"Tri cities Best Heating & Air Conditioning, Inc.","Ventura","California","93004","Ventura California, US-93004","888-706-7766","https://www.trane.com/residential/en/dealers/tri-cities-best-heating-and-air-conditioning-inc-ventura-ca/"
"Travis Crawford Heating and Cooling","Charlotte","North Carolina","28215","Charlotte North Carolina, US-28215","704-999-9174","https://www.trane.com/residential/en/dealers/travis-crawford-heating-and-cooling-charlotte-nc/"
"TRAHAN’S HEATING & COOLING, INC.","Houma","Louisiana","70360","Houma Louisiana, US-70360","985-872-2570","https://www.trane.com/residential/en/dealers/trahans-heating-and-cooling-houma-louisiana/"
"TRADEMASTERS SERVICE, INC.","Lorton","Virginia","22079","Lorton Virginia, US-22079","703-783-2845","https://www.trane.com/residential/en/dealers/trademasters-service-inc-lorton-va/"
"TOWNSEND HEATING & COOLING","Festus","Missouri","63028","Festus Missouri, US-63028","636-931-8885","https://www.trane.com/residential/en/dealers/townsend-heating-and-cooling-festus-mo/"
"Town & Country Air Conditioning","Yuba City","California","95993","Yuba City California, US-95993","530-671-2665","https://www.trane.com/residential/en/dealers/town-and-country-air-conditioning-yuba-city-ca/"
"Total Tech, LLC.","Caldwell","West Virginia","24925","Caldwell West Virginia, US-24925","304-645-4444","https://www.trane.com/residential/en/dealers/total-tech-llc-frankford-wv/"
"Total Residential A Division of Total Mechanical","Pewaukee","Wisconsin","53072","Pewaukee Wisconsin, US-53072","262-523-2500","https://www.trane.com/residential/en/dealers/total-residential-a-division-of-total-mechanical-pewaukee-wi/"
"Total HVAC, LLC","Nashville","Tennessee","37211","Nashville Tennessee, US-37211","615-630-7887","https://www.trane.com/residential/en/dealers/total-hvac-llc-nashville-tn/"
"TOTAL HEATING & COOLING INC","Browns Summit","North Carolina","27214","Browns Summit North Carolina, US-27214","336-656-0103","https://www.trane.com/residential/en/dealers/total-heating-and-cooling-inc-browns-summit-nc/"
"TOTAL ENERGY SERVICE","Manville","New Jersey","08835","Manville New Jersey, US-08835","908-526-3133","https://www.trane.com/residential/en/dealers/total-energy-service-manville-nj/"
"Total Comfort Cooling & Heating Inc","Port Charlotte","Florida","33953","Port Charlotte Florida, US-33953","941-629-6222","https://www.trane.com/residential/en/dealers/total-comfort-cooling-and-heating-inc-port-charlotte-fl/"
"Total Comfort A/C Systems","Spring","Texas","77379","Spring Texas, US-77379","713-851-7604","https://www.trane.com/residential/en/dealers/total-comfort-a-c-systems-spring-tx/"
"Total Comfort","Fredericksburg","Virginia","22401","Fredericksburg Virginia, US-22401","540-373-9780","https://www.trane.com/residential/en/dealers/total-comfort-fredericksburg-va/"
"TOPEKA HEATING & COOLING","Topeka","Kansas","66612","Topeka Kansas, US-66612","785-233-4217","https://www.trane.com/residential/en/dealers/topeka-heating-and-cooling-topeka-ks/"
"TOMS MECHANICAL, INC.","Arlington","Texas","76013","Arlington Texas, US-76013","817-277-4493","https://www.trane.com/residential/en/dealers/toms-mechanical-inc-arlington-tx/"
"Todd’s Lake Country Services","Ardmore","Oklahoma","73401","Ardmore Oklahoma, US-73401","580-226-2460","https://www.trane.com/residential/en/dealers/todds-lake-country-services-ardmore-ok/"
"TLC HEATING & A/C","Latrobe","Pennsylvania","15650","Latrobe Pennsylvania, US-15650","724-537-9370","https://www.trane.com/residential/en/dealers/tlc-heating-and-a-c-latrobe-pa/"
"Titan HVAC","Allison Park","Pennsylvania","15101","Allison Park Pennsylvania, US-15101","412-492-1114","https://www.trane.com/residential/en/dealers/titan-hvac-allison-park-pa/"
"Tipton Heating and Cooling","Huntsville","Alabama","35804","Huntsville Alabama, US-35804","256-828-4806","https://www.trane.com/residential/en/dealers/tipton-heating-and-cooling-huntsville-al/"
"Tindall & Ranson, Inc","Princeton","New Jersey","08540","Princeton New Jersey, US-08540","609-924-3434","https://www.trane.com/residential/en/dealers/tindall-and-ranson-inc-princeton-nj/"
"Timo’s Air Conditioning & Heating Inc.","Thousand Palms","California","92276","Thousand Palms California, US-92276","760-770-4357","https://www.trane.com/residential/en/dealers/timos-air-conditioning-and-heating-inc-thousand-palms-ca/"
"TIGER SERVICES","San Antonio","Texas","78216","San Antonio Texas, US-78216","210-344-0060","https://www.trane.com/residential/en/dealers/tiger-services-san-antonio-tx/"
"Tiger Heating & Air","Corpus Christi","Texas","78413","Corpus Christi Texas, US-78413","361-852-4450","https://www.trane.com/residential/en/dealers/tiger-heating-and-air-corpus-christi-tx/"
"TICA, INC.","Decatur","Illinois","62521","Decatur Illinois, US-62521","217-429-5741","https://www.trane.com/residential/en/dealers/tica-inc-decatur-il/"
"Thumb Cooling and Heating","Cass Ctiy","Michigan","48726","Cass Ctiy Michigan, US-48726","855-206-5457","https://www.trane.com/residential/en/dealers/thumb-cooling-and-heating-cass-ctiy-mi/"
"THREE RIVERS SERVICES, LLC","Covington","Louisiana","70433","Covington Louisiana, US-70433","985-892-7071","https://www.trane.com/residential/en/dealers/three-rivers-services-llc-covington-la/"
"Thornton Services, Inc.","Belle Haven","Virginia","23306","Belle Haven Virginia, US-23306","757-442-6083","https://www.trane.com/residential/en/dealers/thornton-services-inc-belle-haven-va/"
"Thornton Heating Service, Inc.","Libertyville","Illinois","60048","Libertyville Illinois, US-60048","847-996-0796","https://www.trane.com/residential/en/dealers/thornton-heating-service-inc-libertyville-il/"
"Thornton Heating and Air","Murray","Kentucky","42071","Murray Kentucky, US-42071","270-753-8181","https://www.trane.com/residential/en/dealers/thornton-heating-and-air-murray-ky/"
"Thompson’s Heating & Air – Woodland","Woodland","California","95776","Woodland California, US-95776","530-661-2599","https://www.trane.com/residential/en/dealers/thompsons-heating-and-air-woodland-woodland-ca/"
"Thompson Air Conditioning","Mount Pleasant","Texas","75455","Mount Pleasant Texas, US-75455","903-572-1234","https://www.trane.com/residential/en/dealers/thompson-air-conditioning-mount-pleasant-tx/"
"THOMAS HVAC COMPANY","Huntsville","Alabama","35759","Huntsville Alabama, US-35759","256-858-4822","https://www.trane.com/residential/en/dealers/thomas-hvac-company-huntsville-al/"
"Thermo Direct, Inc.","Garner","North Carolina","27529","Garner North Carolina, US-27529","919-662-4112","https://www.trane.com/residential/en/dealers/thermo-direct-inc-garner-nc/"
"The Woodlands Htg & A/C, LLC","The Woodlands","Texas","77380","The Woodlands Texas, US-77380","281-363-4822","https://www.trane.com/residential/en/dealers/the-woodlands-htg-and-a-c-llc-the-woodlands-tx/"
"The Lynch Company","Wellesley","Massachusetts","02481","Wellesley Massachusetts, US-02481","781-237-2665","https://www.trane.com/residential/en/dealers/the-lynch-company-wellesley-ma/"
"THE HOME SYSTEMS HTG AND CLG","El Paso","Texas","79928","El Paso Texas, US-79928","915-858-4141","https://www.trane.com/residential/en/dealers/the-home-systems-htg-and-clg-el-paso-tx/"
"The Green Air Group LLC","Freeport","Florida","32439","Freeport Florida, US-32439","850-608-3065","https://www.trane.com/residential/en/dealers/the-green-air-group-freeport-fl/"
"The Furnace Room","Concord","Ontario","L4K4H5","Concord Ontario, CA-L4K4H5","905-326-2973","https://www.trane.com/residential/en/dealers/the-furnace-room-concord-ontario/"
"The Furnace Doctor Heating & Air Conditioning","Grand Rapids","Michigan","49506","Grand Rapids Michigan, US-49506","616-600-1139","https://www.trane.com/residential/en/dealers/furnace-doctor-heating-and-air-grand-rapids-mi/"
"THE ELEMENT MASTERS, INC.","Middlebury","Indiana","46540","Middlebury Indiana, US-46540","574-825-8824","https://www.trane.com/residential/en/dealers/the-element-masters-inc-middlebury-in/"
