"job_name","job_company","job_rating","job_review_count","job_location_or_type","job_salary","job_description"
"Python AI / ML (Online Trainer Part Time)","Nestsoft technologies","3 reviews","3.3","er jobs","₹10,000 - ₹25,000 a month","Online 
  Experience: 1 Years To 5 Years Salary : 10000- 25000 (Month) Part Time  Qualification Required: Any Graduate Skills Required: Python, Machine Learning, Artificial Intelligence, Deep Learning, Data Science Details: Wanted part time online trainer for Python, Machine Learning, Artificial Intelligence, Deep Learning, Data Science. While you are working as developer you can also work as trainer with us. It will get more income to your skills and experience. We need expert developers as trainer.. Please do not call/whatsapp to any of our company mobile(s). Apply through our website or by email to hr@nestsoft.com"
"Python Developers","Laddu Systems","","","Hyderabad, Telangana","","Hiring for Python Developers. Interested candidates can apply immediately.



Job Features




     Job Category
    

      Developers
    




     Minimum Qualification
    

      Graduation 
    




     Work Experience
    

      1+ Years 
    




     Skills Required
    

      Python"
"Python - Fresher","SplendorNet Technologies","","","Pune, Maharashtra","","JD : - Logically strong, willing to learn and stay long with company is must - Should be familiar with at least one python web development framework. Preferably - Django or Flask, TurboGears, web2py - Django REST API Framework, Tastypie, Angular Js , JqueryUI will be added advantage. - Must know basics of web developments such as HTML, CSS, JavaScript or JQuery."
"Python / Django Developer","Nestsoft technologies","3 reviews","3.3","Kochi, Kerala","₹250 - ₹450 an hour","Kochi, Kerala, India 
  Experience: 0 Years To 3 Years Salary : 250- 450 (Hour) Full Time  Qualification Required: BTech(CS, EC, IT), BCA, MCA Skills Required: We are looking for an inspired Python / Django developer to join our team of professionals Details: Python expert with knowledge of Django Web Framework Familiarity with some ORM libraries Strong understanding of front-end technologies such as Javascript, HTML5, CSS3 and Bootstrap. Freshers and veterans can apply.. Please do not call/whatsapp to any of our company mobile(s). Apply through our website or by email to hr@nestsoft.com"
"Python Developer","Inforizon","","","Remote","","Location: Remote
Experiance: 
5-10 years

Description : 
Building fast, responsive web applications is the responsibility of the Python developer we are looking for. In order to create the back-end components, incorporate the front-end components into the application, and control the data exchange between the server and the users, the ideal candidate should be very skilled at writing clean, testable, and scalable code. The developer should cooperate with front-end developers and have a basic understanding of front-end technologies.
Create and implement applications with low latency, high availability, and high performance. Create scalable, testable, reusable, and efficient code. Work with front-end developers to combine user-facing components with server-side logic. Integrate data to create insights that will help you make decisions more quickly and effectively. updating current databases to increase functionality Organize and produce tools, strategies, and data pipeline documentation."
"Python Developer - Intern","MNJ Software","","","Remote","","About Us


        Energize your career with one of Information Technology’s fastest growing companies. 
        You dream of a great career with a great company – where you can make an impact and help people. We dream of giving you the opportunity to do just this. And with the incredible growth of our business, it’s a dream that definitely can come true. Already one of the world’s leading IT companies, MNJ SOFTWARE is restlessly pursuing new ways to operate our service centers, improve our service levels and help people lead healthier lives. We live for the opportunity to make a difference and right now, we are living it up. 
MNJ SOFTWARE is an IT services, business solutions and outsourcing organization that delivers real results to global businesses, ensuring a level of certainty no other firm can match. 
MNJ SOFTWARE offers a consulting-led, integrated portfolio of IT and IT-enabled services delivered through its unique Global Network Delivery Model, recognized as the benchmark of excellence in software development. 
MNJ SOFTWARE service offerings span business and technology consulting, application services, systems integration, product engineering, custom software development, maintenance, re-engineering, independent testing and validation services, IT infrastructure services and business process outsourcing. 
MNJ SOFTWARE takes pride in building strategic long-term client relationships. 
MNJ SOFTWARE is only hiring those authorized to work in the India and unable to provide visa sponsorship at this time.





Job Details


MNJ SOFTWARE is looking for talented individuals who are interested to be part of ""Our"" journey to build a best-in-class organization, driving to deliver real results to global businesses, ensuring a level of certainty no other firm can match. 
        Python Developer - Intern at MNJ SOFTWARE, you will participate in design, development and implementation of architectural deliverables of custom projects and products of MNJ SOFTWARE. The role includes working closely with lead, testers, customers, project/product managers and designers. 





JobID


        J0207 
       




Title


        Python Developer - Intern 
       




Experience


        0-1 yrs 
       




Job Type


        Permanent / Contract [Depends on Project Needs or C2H] 
       




Position Type


        Full time [Monday – Friday]. Employees are required to have flexibility to work any of our 9-hour shift schedules during our normal business hours of (6am - 10pm IST) or (6pm to 6am IST). It may be necessary, given the business need, to work occasional overtime [unpaid]. 
       




Qualification


        ME/M.TECH/BE/B.TECH/MCA/M.Sc(IT) etc 
       




Technical/Functional Skills


         Programming skills in Python (Mandatory). 
        
Familiarity with front-end technologies like CSS, JavaScript and HTML5. 
Experience with consuming RESTful web services 
Knowledge of object-relational mapping ORM. 
Knowledge of Python framework like Django, Flask or Pyramid (at least one). 
Experience of using industry recognised frameworks and development tooling. 
Being ""full-stack"" - building features from the DB up to the UI and back again, without relying on other people to build the Frontend or the Backend. 






Roles & Responsibilities


         Insure code quality by writing unit and integration tests and Self-code review. Write and Implement tools to support design and development. 
        
Write technical documentation. 
Work with Project managers and team leads to ensure that all tasks are estimated accurately and completed correctly and on schedule. 
Support and Resolve any issues and incidents related to the application. 
Collaborates Well in a distributed, cross-functional team environment, interacting with QA engineers, project managers, product owners, and other departments. 
Follow engineering standard methodologies set for the team. 
Design, Build, and maintain efficient, reusable, and reliable code. 
Be responsible for the timely delivery of all milestones. 
Take a hands-on approach in the development of prototypes quickly. 
Impact Analysis for issues/CR and share efforts and risk with seniors. 






Personal Attributes


         Must be Analytical and possess good problem-solving capabilities 
        
Independent thinker 






Process


        Technical Interviews, HR Round 
       




Reimbursement


        Best in Industry 
       




Certification


        Optional 
       




Location


        Remote (Work From Home) 
       




Competencies


Professionalism – Knowledge of general office and administrative support including 
        MNJ SOFTWARE administrative policies, processes and procedures. Demonstrates professional competence and mastery of subject matter; is conscientious and efficient in meeting commitments, observing deadlines and achieving results; remains calm in stressful situations. Commitment to implementing the goal of gender equality by ensuring equal participation and full involvement of women and men in all aspects of work. 
        
Teamwork – Works collaboratively with colleagues to achieve organizational goals; solicits input by genuinely valuing others’ ideas and expertise; is willing to learn from others; places team agenda before personal agenda; shares credit for team accomplishments and accepts joint responsibility for team shortcomings; ability to work beyond normal hours. 
        
Planning and Organizing – Develops clear goals that are consistent with agreed strategies; identifies priority activities and assignments; adjusts priorities as required; allocates appropriate amount of time and resources for completing work; foresees risks and allows for contingencies when planning; uses time efficiently. 
       




Assessment


        Evaluation of qualified candidates may include an assessment exercise which may be followed by competency-based interview. 
       




Languages


        English is the working language of this above stated post. For this post, fluency in oral and written English is required. 
       




Note


        We're an Equal Opportunity Employer: You will receive consideration for employment without regard to race, sex, color, religion, sexual orientation, gender identity, national origin, protected veteran status, or on the basis of disability. 
       




No Fee


        THE 
        MNJ SOFTWARE DOES NOT CHARGE A FEE AT ANY STAGE OF THE RECRUITMENT PROCESS (APPLICATION, INTERVIEW MEETING, PROCESSING, OR TRAINING). 
       

General Considerations:
According to policies and processes of MNJ SOFTWARE, the paramount consideration in the employment of the staff is the necessity of securing the highest standards of efficiency, competence, and integrity. Candidates will not be considered for employment with the MNJ SOFTWARE if they have committed violations of national / international human rights law, violations of national / international humanitarian law, sexual exploitation, sexual abuse, or sexual harassment, or if there are reasonable grounds to believe that they have been involved in the commission of any of these acts. The term “sexual exploitation” means any actual or attempted abuse of a position of vulnerability, differential power, or trust, for sexual purposes, including, but not limited to, profiting monetarily, socially or politically from the sexual exploitation of another. The term “sexual abuse” means the actual or threatened physical intrusion of a sexual nature, whether by force or under unequal or coercive conditions. The term “sexual harassment” means any unwelcome conduct of a sexual nature that might reasonably be expected or be perceived to cause offence or humiliation, when such conduct interferes with work, is made a condition of employment or creates an intimidating, hostile or offensive work environment, and when the gravity of the conduct warrants the termination of the perpetrator’s working relationship. Candidates who have committed crimes other than minor traffic offences may not be considered for employment. 
Due regard will be paid to the importance of recruiting the staff on as wide a geographical basis as possible. The MNJ SOFTWARE places no restrictions on the eligibility of men and women to participate in any capacity and under conditions of equality in its principal and subsidiary organs. The MNJ SOFTWARE OFFICE is a non-smoking environment. 
The paramount consideration in the appointment, transfer, or promotion of staff shall be the necessity of securing the highest standards of efficiency, competence, and integrity. By accepting an offer of appointment, MNJ SOFTWARE staff members are subject to the authority of the Managers and assignment by him or her to any activities or offices of the MNJ SOFTWARE in accordance with staff regulation In this context, all internationally recruited staff members shall be required to move periodically to discharge new functions within or across duty stations under conditions established by the MNJ SOFTWARE. 
The evaluation of applicants will be conducted on the basis of the information submitted in the application according to the evaluation criteria of the job opening and the applicable internal legislations of the MNJ SOFTWARE, the Staff Regulations and Rules, administrative issuances and guidelines. Applicants must provide complete and accurate information pertaining to their personal profile and qualifications according to the instructions provided in inspira to be considered for the current job opening. No amendment, addition, deletion, revision or modification shall be made to applications that have been submitted. Candidates under serious consideration for selection will be subject to reference checks to verify the information provided in the application."
"Python - Fresher","SplendorNet Technologies","","","Pune, Maharashtra","","JD : - Logically strong, willing to learn and stay long with company is must - Should be familiar with at least one python web development framework. Preferably - Django or Flask, TurboGears, web2py - Django REST API Framework, Tastypie, Angular Js , JqueryUI will be added advantage. - Must know basics of web developments such as HTML, CSS, JavaScript or JQuery."
"Python Developers","Laddu Systems","","","Hyderabad, Telangana","","Hiring for Python Developers. Interested candidates can apply immediately.



Job Features




     Job Category
    

      Developers
    




     Minimum Qualification
    

      Graduation 
    




     Work Experience
    

      1+ Years 
    




     Skills Required
    

      Python"
"Python","Fleming Embedded and Software Solutions","","","","","Experience (0-1yrs) knowledge in OOPs Concept/Core Python is prefered. Should be familier with Advanced Python and Django.
Should be able to learn new languages and ready to work under pressure situations if required"
"Python Developer","Inforizon","","","Remote","","Location: Remote
Experiance: 
5-10 years

Description : 
Building fast, responsive web applications is the responsibility of the Python developer we are looking for. In order to create the back-end components, incorporate the front-end components into the application, and control the data exchange between the server and the users, the ideal candidate should be very skilled at writing clean, testable, and scalable code. The developer should cooperate with front-end developers and have a basic understanding of front-end technologies.
Create and implement applications with low latency, high availability, and high performance. Create scalable, testable, reusable, and efficient code. Work with front-end developers to combine user-facing components with server-side logic. Integrate data to create insights that will help you make decisions more quickly and effectively. updating current databases to increase functionality Organize and produce tools, strategies, and data pipeline documentation."
"Python Pyspark","Virtusa","931 reviews","3.7","Bengaluru, Karnataka","","Description 

 Job Responsibilities 
Develop customized solutions within the platform to support critical business functions and meet project 
Manage daily support and maintenance of internal instance, and conduct long-term improvement operations 
Communicate with project managers, clients and other developers to design cohesive project strategies 
Maintain a flexible and proactive work environment to facilitate a quick response to changing project requirements 

 About Virtusa 

 Teamwork, quality of life, professional and personal development: values that Virtusa is proud to embody. When you join us, you join a team of 30,000+ people globally that cares about your growth - one that seeks to provide you with exciting projects, opportunities and work with state of the art technologies throughout your career with us. 


Great minds, great potential: it all comes together at Virtusa. We value collaboration and the team environment of our company, and seek to provide great minds with a dynamic place to nurture new ideas and foster excellence. 

 Virtusa was founded on principles of equal opportunity for all, and so does not discriminate on the basis of race, religion, color, sex, gender identity, sexual orientation, age, non-disqualifying physical or mental disability, national origin, veteran status or any other basis covered by appropriate law. All employment is decided on the basis of qualifications, merit, and business need. 

 Primary Location 
: IN-KA-Bangalore 
Schedule 
: Full Time 
Employee Status 
: Individual Contributor 
Job Type 
: Experienced 
Travel 
: No 
Job Posting 
: 14/12/2022, 10:43:01 AM"
"Software Engineer - Fresher","Lucid Outsourcing Solutions","","","eer jobs","","Software Engineer - Fresher who have completed their BE, BTech, MCA and have some knowledge of PHP, MySql, CSS, jQuery, css 



Designation: Software Engineer - Fresher Experience: 0-6 Months Location: Jodhpur
About Us: Lucid Outsourcing Solutions, an ISO 9001:2015 is an offshore web design and development solutions provider that operates through its corporate office at Jodhpur. 
Job Description:
Software Engineer - Fresher who have completed their BE, BTech, MCA and have some knowledge of PHP, MySql, CSS, jQuery, css etc. Knowledge of AngularJs, python, django is plus.
Responsibilities:

Design and build applications for the PHP, python platform
Collaborate with a team and ready to learn new things
Identify and fix bugs
Help maintain code quality

Skills:

0-6 Months Years of Experience
Some knowledge of PHP, jQuery, MySql, CSS, bootstrap"
"Python AI / ML (Online Trainer Part Time)","Nestsoft technologies","3 reviews","3.3","er jobs","₹10,000 - ₹25,000 a month","Online 
  Experience: 1 Years To 5 Years Salary : 10000- 25000 (Month) Part Time  Qualification Required: Any Graduate Skills Required: Python, Machine Learning, Artificial Intelligence, Deep Learning, Data Science Details: Wanted part time online trainer for Python, Machine Learning, Artificial Intelligence, Deep Learning, Data Science. While you are working as developer you can also work as trainer with us. It will get more income to your skills and experience. We need expert developers as trainer.. Please do not call/whatsapp to any of our company mobile(s). Apply through our website or by email to hr@nestsoft.com"
"Software Trainee","Miracle Software Systems","57 reviews","3.3","ee jobs","","India-Miracle City 
Exp 0 - 2 Years





Key Skills

JAVA
 JavaScript
 C++
 SQL
 Python
 .NET






Responsibilities


The candidate may possess skills in any programming language/scripting language/DevOps/any database
 Hands-on experience in any application development is preferable
 Strong team-working skills to understand the needs and build a learning relationship
 Should be keen on learning and working on the latest technologies
 Good communication skills and logical thinking capabilities
 Eligibility: B.Tech (CSE/IT/ECE) or MCA of 2019/2020/2021 pass outs with 70%"
