"compnay_name","website","linkedin","image","city","emails","address","description"
"notify°","https://notify-group.com/","https://www.linkedin.com/company/notify-perfect-timing","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@notify-group.com","3 rue d'Uzès
75002 Paris
FRANCE
contact@notify-group.com
https://notify-group.com/",""
"KLARNA","https://www.klarna.com/fr/","https://www.linkedin.com/company/klarna","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","ventes@klarna.com","33 rue La Fayette
75009 Paris
FRANCE
ventes@klarna.com
https://www.klarna.com/fr/","Acquisition or Loyalty? Leveraging Klarna's Stocard mobile wallet media and shopper data to grow traffic and sales"
"BOWTZ TECHNOLOGY","https://www.blozi.com.cn/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/chn.svg","CHINA","info@blozi.com","Building 24,  No. 1818, Chengbei Road,
Jiading District
201800 Shanghai
CHINA
info@blozi.com
https://www.blozi.com.cn/",""
"MIRANE","http://www.mirane.com","https://www.linkedin.com/company/mirane/about/?viewAsMember=true","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@mirane.com","Le Forum Entrée 19
16 rue du 8 Mai 1945
33150 Cenon
FRANCE
contact@mirane.com
http://www.mirane.com",""
"Planet","https://www.weareplanet.com/","https://www.linkedin.com/company/planet/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/gbr.svg","UNITED KINGDOM","enquiries@weareplanet.com","Tour Initiale
1 Terr. Bellini
92800 Puteaux
UNITED KINGDOM
enquiries@weareplanet.com
https://www.weareplanet.com/","4th Benchmark of Unified Commerce: ranking the top 100 brands to develop a unified customer journey, both online and in-store"
"Rakuten France","https://global.fr.shopping.rakuten.com/","https://www.linkedin.com/company/rakutenfrance/?original_referer=https%3A%2F%2Fwww%2Egoogle%2Ecom%2F","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","nolwenn.canton@rakuten.com","92 rue Réaumur
75002 Paris
FRANCE
nolwenn.canton@rakuten.com
https://global.fr.shopping.rakuten.com/","How to optimize your sales on a marketplace? Key success factors for Merchants and Brands on Rakuten"
"DISCOVER® GLOBAL NETWORK","https://www.discoverglobalnetwork.com","https://www.linkedin.com/company/discover-global-network/mycompany/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contactus@discover.com","22 Boulevard Malesherbes
75008 Paris
FRANCE
contactus@discover.com
https://www.discoverglobalnetwork.com",""
"Kwanko","https://www.kwanko.com","https://www.linkedin.com/company/kwanko/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","sales.fr@kwanko.com","60 Boulevard du Maréchal Joffre
92340 Bourg-la-Reine 
FRANCE
sales.fr@kwanko.com
https://www.kwanko.com","How to boost your online sales with Affiliate Marketing ? Kwanko's self-service solution"
"AGORAPULSE","https://www.agorapulse.com/","https://www.linkedin.com/company/agorapulse-france/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","pierre.seillier@agorapulse.com","132 rue de Rivoli
75001 Paris
FRANCE
pierre.seillier@agorapulse.com
https://www.agorapulse.com/","Retail & Ecommerce : How to measure the impact of social media on your sales?"
"WIFIRST","","http://www.linkedin.com/company/wifirst","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","commercial@wifirst.fr","26 rue de Berri
75008 Paris
FRANCE
commercial@wifirst.fr",""
"Marjory","https://marjory.io/","https://www.linkedin.com/company/marjory-solution/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","berenice@marjory.co","229 r St Honoré
75001 Paris
FRANCE
berenice@marjory.co
https://marjory.io/",""
"DIDUENJOY","https://www.diduenjoy.com/fr/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","alexis@diduenjoy.com","55 boulevard Vincent Auriol
75013 Paris
FRANCE
alexis@diduenjoy.com
https://www.diduenjoy.com/fr/",""
"SteerFox","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@steerfox.com","94 rue Saint-Lazare
75009 Paris
FRANCE
contact@steerfox.com","Behind the scenes of ecommerce customer acquisition, what are the unexpected factors that influence consumer behaviors in 2022 ?"
"ADFORALL","https://www.adforall.fr/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","fabrice@adforall.fr","78 boulevard de la République
92100 Boulogne-Billancourt
FRANCE
fabrice@adforall.fr
https://www.adforall.fr/",""
"M3 MOBILE","http://www.m3mobile.net/en/main","https://www.linkedin.com/company/m3mobile-aidc/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/deu.svg","GERMANY","orders@m3mobile.net","Am Holzweg 26
65830 Kriftel
GERMANY
orders@m3mobile.net
http://www.m3mobile.net/en/main",""
"YATEO","http://www.yateo.com","https://fr.linkedin.com/company/yateo?original_referer=https%3A%2F%2Fwww.google.com%2F","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","yves@yateo.com","33 rue Linné
75005 Paris
FRANCE
yves@yateo.com
http://www.yateo.com",""
"SMARTWAY (ZÉRO GÂCHIS)","https://smartway.ai/","https://www.linkedin.com/company/z-ro-g-chis/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@smartway.ai","6 Avenue Marcelin Berthelot
Batiment Le Newton
44800 Saint-Herblain
FRANCE
contact@smartway.ai
https://smartway.ai/",""
"Django","http://www.django.eu","https://www.linkedin.com/company/djangofrance/mycompany/?viewAsMember=true","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","vanessa.lavergne@django.eu","8 rue Auber
75009 Paris
FRANCE
vanessa.lavergne@django.eu
http://www.django.eu",""
"Sline","https://www.sline.io/","https://www.linkedin.com/company/getsline/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@sline.io","50 rue de la Boétie
75008 Paris
FRANCE
contact@sline.io
https://www.sline.io/","Renting: the great (e-)commerce revolution "
"Origami Marketplace","https://origami-marketplace.com/","https://www.linkedin.com/company/origami-marketplace/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@origami-marketplace.com","165 Avenue de Bretagne
59000 Lille
FRANCE
contact@origami-marketplace.com
https://origami-marketplace.com/",""
"Belacom","https://www.belacom.fr/","https://www.linkedin.com/company/belacom","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","marketing@belacom.fr","54 Boulevard Rodin
92130 Issy-les-Moulineaux
FRANCE
marketing@belacom.fr
https://www.belacom.fr/","How to reactivate inactive contacts in your database ?"
"Bloomreach","http://www.bloomreach.com/en","https://www.linkedin.com/company/bloomreach/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/nld.svg","NETHERLANDS","hello@bloomreach.com","Fred. Roeskestraat 109
1076 EE Amsterdam
NETHERLANDS
hello@bloomreach.com
http://www.bloomreach.com/en","The best partners to scale your International e-Commerce"
"Captain Wallet","https://www.captainwallet.com/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","hello@captainwallet.com","44 Rue Richer
75009 Paris
FRANCE
hello@captainwallet.com
https://www.captainwallet.com/",""
"CORREOS","","https://www.linkedin.com/company/correos/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/esp.svg","SPAIN","international.business@correos.com","C-November s-n
Correos Rampa 7, Centro de Carga Aérea
28042 Madrid
SPAIN
international.business@correos.com",""
"TELELOGOS","https://www.telelogos.com/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","sales@telelogos.com","3, Avenue du bois l'abbé
49070 Beaucouzé
FRANCE
sales@telelogos.com
https://www.telelogos.com/",""
"NEDAP FRANCE","https://www.retail.nedapfrance.fr/"," https://www.linkedin.com/company/nedap-france","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact.retail@nedapfrance.fr","8 chemin d'Andrésy
95610 Eragny-sur-Oise
FRANCE
contact.retail@nedapfrance.fr
https://www.retail.nedapfrance.fr/",""
"DHL EXPRESS FRANCE","https://ecommerce.dhl.fr/","https://www.linkedin.com/company/dhl-express-france/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","lina.zarrour@dhl.com","53 avenue Jean Jaurès
93350 Le Bourget
FRANCE
lina.zarrour@dhl.com
https://ecommerce.dhl.fr/",""
"Brightweb","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","laurent@brightweb.cloud","11 rue Dailly
92210 Saint-Cloud
FRANCE
laurent@brightweb.cloud",""
"Octolis","https://octolis.com/fr","https://www.linkedin.com/company/octolis/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","sanjay@octolis.com","5 avenue du Général de Gaulle
94160 Saint-Mandé
FRANCE
sanjay@octolis.com
https://octolis.com/fr",""
"FenTech","https://fentech.ai/","https://www.linkedin.com/company/fentech-solutions/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@fentech.ai","9 Rue Dareau
75014 Paris
FRANCE
contact@fentech.ai
https://fentech.ai/","Empower your business with Decision Intelligence: Price, Stock, Assortment"
"WOOP","http://www.woopit.fr","https://www.linkedin.com/company/woopit/mycompany/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","yasni.meziane@woopit.fr","67 rue du Luxembourg
59800 Lille
FRANCE
yasni.meziane@woopit.fr
http://www.woopit.fr","The delivery management system for responsible and efficient deliveries"
"TikTok","https://tiktok-prw2022.splashthat.com","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/gbr.svg","UNITED KINGDOM","","UNITED KINGDOM

https://tiktok-prw2022.splashthat.com",""
"Fourseeds by Meteors","https://fourseeds.io/en/","https://www.linkedin.com/company/fourseeds","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","olivier@meteors-data.com","135 avenue de la République
59110 La Madeleine
FRANCE
olivier@meteors-data.com
https://fourseeds.io/en/",""
"Guest Suite","http://www.guest-suite.com","https://www.linkedin.com/company/guest-suite","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","sales@guest-suite.com","10 rue Magdeleine
44200 Nantes
FRANCE
sales@guest-suite.com
http://www.guest-suite.com","+2,600 reviews in a year: how (and why) Banque Populaire Bourgogne Franche-Comté boost their acquisition strategy using reviews"
"CPA- COLLECTIF PERFORMANCE","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@cpa-france.org","30 rue Taitbout
75009 Paris
FRANCE
contact@cpa-france.org","Content to commerce, good practices to prepare for Black Friday and Christmas!"
"OPENBRAVO","http://www.openbravo.com","https://www.linkedin.com/company/39434/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","finance@openbravo.com","3 rue Kant - Bâtiment G -1er étage
59000 Lille
FRANCE
finance@openbravo.com
http://www.openbravo.com","POS and Omnichannel at Norauto; the success of a digital transformation on a European scale"
"Eulerian","http://www.eulerian.com","https://www.linkedin.com/company/eulerian-technologies","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","marketing@eulerian.com","60 rue de la Chaussée d'Antin
75009 Paris
FRANCE
marketing@eulerian.com
http://www.eulerian.com",""
"Zyler","http://www.zyler.com","https://www.linkedin.com/showcase/69210398/admin/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/gbr.svg","UNITED KINGDOM","sales@anthropics.com","195 Wood Lane
W12 7FQ London
UNITED KINGDOM
sales@anthropics.com
http://www.zyler.com",""
"Cocolabs","https://www.cocolabs.com/fr/","https://www.linkedin.com/company/cocolabs/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@cocolabs.com","12 rue du Helder
75009 Paris
FRANCE
contact@cocolabs.com
https://www.cocolabs.com/fr/",""
"GROUPE INDUSTRIE SERVICES INFO (GISI)","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","dfitte@gisi.fr","10 place du Général de Gaulle
BP 20156
92186 Antony
FRANCE
dfitte@gisi.fr",""
"ZKONG NETWORKS CO.,LTD","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/chn.svg","CHINA","mkt@zkong.com","Building No. 17, Singapore Tech Park,
310000 Hangzhou 
CHINA
mkt@zkong.com",""
"Mollie","https://www.mollie.com/fr","https://www.linkedin.com/company/molliepayments/mycompany/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/nld.svg","NETHERLANDS","marianne.chanteperdrix@mollie.com","4 rue Jules Lefebvre
75009 Paris
NETHERLANDS
marianne.chanteperdrix@mollie.com
https://www.mollie.com/fr",""
"World Sellers","https://world-sellers.com/","https://www.linkedin.com/company/world-sellers/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","jllaloyaux@world-sellers.com","Blanchemaille
Euratechnologie
Rue de Fontenoy
59100 Roubaix
FRANCE
jllaloyaux@world-sellers.com
https://world-sellers.com/","Expand your sales globally thanks to your Web Factory - solutions and use cases (Jacadi. /Afibel) "
"Optimix","https://optimix.fr","www.linkedin.com/company/optimix-ffr","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@opti-mix.fr","340 Avenue de la Marne
Parc Europe Bâtiment 11
59700 Marcq-en-Baroeul
FRANCE
contact@opti-mix.fr
https://optimix.fr","How to optimize your Supply Chain, despite supply disruptions and biased sales history"
"SENSORMATIC","https://www.sensormatic.com/fr_fr/","https://www.linkedin.com/company/sensormatic/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","estelle.loussouarn@jci.com","5, Avenue du Chemin des Presles
94410 Saint-Maurice
FRANCE
estelle.loussouarn@jci.com
https://www.sensormatic.com/fr_fr/",""
"Custplace","https://business.custplace.com/","https://www.linkedin.com/company/custplace/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@custplace.com","125 rue du Théâtre
75015 Paris
FRANCE
contact@custplace.com
https://business.custplace.com/","KparK case study: how customer reviews have a very positive impact on business performance ?"
"PROGMAG","http://www.progmag.com","https://www.linkedin.com/company/progmag/?viewAsMember=true","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","commercial@progmag.com","ZA de Clairac
260 Rue Saint Exupéry
26760 Beaumont-les-Valence
FRANCE
commercial@progmag.com
http://www.progmag.com",""
"DMA FRANCE","http://www.dmafrance.org/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","","68 Boulevard Saint Marcel
75005 Paris
FRANCE

http://www.dmafrance.org/","Reconciling Data Marketing and GDPR"
"BALEEN","https://baleen.cloud/","https://www.linkedin.com/showcase/73250787","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","philippe.fischer@cshield.io","120-126 Quai de Bacalan 
33000 Bordeaux 
FRANCE
philippe.fischer@cshield.io
https://baleen.cloud/",""
"CB","http://www.cartes-bancaires.com","https://www.linkedin.com/company/gie-cartes-bancaires/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","communication@cartes-bancaires.com","151 bis, rue Saint-Honoré
75001 Paris
FRANCE
communication@cartes-bancaires.com
http://www.cartes-bancaires.com","E.merchants, how to optimize your conversion rate with Paiement Sécurisé CB?"
"SOEASYLOG","https://www.soeasylog.com/","https://www.linkedin.com/showcase/soeasylog/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@soeasylog.com","4 Rue Louis Saillant
93600 Aulnay-sous-Bois
FRANCE
contact@soeasylog.com
https://www.soeasylog.com/",""
"YOOBIC","https://yoobic.com/","https://www.linkedin.com/company/5143366/admin/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","cbaerd@yoobic.com","152 boulevard Haussmann
75008 Paris
FRANCE
cbaerd@yoobic.com
https://yoobic.com/","Zadig & Voltaire and Rexel : 2 perspectives on how they optimised communication and operations with YOOBIC"
"MIRAKL","http://www.mirakl.com","https://www.linkedin.com/company/mirakl/?originalSubdomain=fr","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@mirakl.com","12 rue de Lübeck
75116 Paris
FRANCE
contact@mirakl.com
http://www.mirakl.com","Kiabi accelerates its digital transformation to become the number 1 omnichannel marketplace for families"
"Freshworks","https://www.freshworks.com/fr/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","hugo.danaguezian@freshworks.com","22 Rue Chauchat
75009 Paris
FRANCE
hugo.danaguezian@freshworks.com
https://www.freshworks.com/fr/","5 mistakes to avoid if you want to modernise your customer service"
"Partner Tech Europe GmbH","https://partner-tech.eu/","https://www.linkedin.com/company/partner-tech-europe-gmbh/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/deu.svg","GERMANY","info@partner-tech.eu","Beim Umspannwerk 10
22844 Norderstedt 
GERMANY
info@partner-tech.eu
https://partner-tech.eu/",""
"DELIVENGO","https://mydelivengo.laposte.fr/easy/","https://www.linkedin.com/showcase/la-poste-solutions-business/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","patricia.ramonet@laposte.fr","5 rue du Colonel Pierre Avia
CP Y803
75757 Paris cedex 15
FRANCE
patricia.ramonet@laposte.fr
https://mydelivengo.laposte.fr/easy/",""
"nfinite","https://www.nfinite.app/","www.linkedin.com/company/nfiniteapp/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","luis@nfinite.app","13 rue Jean Paul Allaux
33100 Bordeaux
FRANCE
luis@nfinite.app
https://www.nfinite.app/",""
"YOO SOFT","http://www.yoo-soft.com","www.linkedin.com/company/yoosoft","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","hello@yoo-soft.com","Cap Omega
Rond-point Benjamin Franklin
34000 Montpellier
FRANCE
hello@yoo-soft.com
http://www.yoo-soft.com",""
"VOXPAY","http://www.voxpay.fr","https://fr.linkedin.com/company/voxpay","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@voxpay.fr","5 avenue du General de Gaulle
94160 Saint-Mandé
FRANCE
contact@voxpay.fr
http://www.voxpay.fr",""
"Membrace","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/arm.svg","ARMENIA","","Arshakunyac str., 49-22
0026 YEREVAN
ARMENIA",""
"Noticia","https://www.noticia.ai/","https://www.linkedin.com/company/noticiasas/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@noticia.ai","15 rue Desbordes Valmore
75116 Paris
FRANCE
contact@noticia.ai
https://www.noticia.ai/",""
"Kaptain Charlie","https://kaptaincharlie.com/","https://www.linkedin.com/company/kaptain-charlie/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","hello@kaptaincharlie.com","16 villa Deshayes
75014 Paris
FRANCE
hello@kaptaincharlie.com
https://kaptaincharlie.com/",""
"BOTIFY","http://www.botify.com","https://www.linkedin.com/company/botify/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","marketing@botify.com","12 rue d'Amsterdam
75009 Paris
FRANCE
marketing@botify.com
http://www.botify.com","Automating organic search (SEO) to boost your online sales"
"rapitag","https://rapitag.com/","https://www.linkedin.com/company/rapitag","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/usa.svg","UNITED STATES","order@rapitag.com","99 Wall Street #4711
1000 New York City
UNITED STATES
order@rapitag.com
https://rapitag.com/",""
"GK SOFTWARE SE","http://www.gk-software.com/fr/","https://www.linkedin.com/company/gk-software/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/deu.svg","GERMANY","info@gk-software.com","Waldstrasse 7
08261 Schöneck
GERMANY
info@gk-software.com
http://www.gk-software.com/fr/",""
"Talkdesk","http://talkdesk.com/fr-fr/","https://www.linkedin.com/company/talkdesk/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/prt.svg","PORTUGAL","giorgio.barone@talk.talkdesk.com","Rua Pedro Nunes
Edifício IPN D, 1º Piso
3030-199 Coimbra
PORTUGAL
giorgio.barone@talk.talkdesk.com
http://talkdesk.com/fr-fr/","How AI and Automation Help Brands Deliver the Best CX ? Farfetch’s Example"
"TUT TUT","http://www.tut-tut.com","https://www.linkedin.com/company/tut-tut-france/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@tut-tut.com","114 route des Rémouleurs
84000 Avignon
FRANCE
contact@tut-tut.com
http://www.tut-tut.com"," CSR policy applied to logistics"
"FAMOCO","http://www.famoco.com","https://www.linkedin.com/company/famoco/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","marketing@famoco.com","55 rue des Francs Bourgeois
75004 Paris
FRANCE
marketing@famoco.com
http://www.famoco.com",""
"LYF","https://www.lyf.eu/fr/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","aude.schapiro@lyf.eu","4 rue Frédéric-Guillaume Raiffeisen
67000 Strasbourg
FRANCE
aude.schapiro@lyf.eu
https://www.lyf.eu/fr/",""
"HUB ONE","http://www.hubone.fr","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","information@hubone.fr","Continental Square 1
Bâtiment Mercure
2 place de Londres
93290 Tremblay-en-France
FRANCE
information@hubone.fr
http://www.hubone.fr",""
"EURATECHNOLOGIES","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","","Place de Saintignon
165 av de Bretagne
59000 Lille
FRANCE",""
"DISPLAY MEDIA","http://www.displaymedia.fr","https://www.linkedin.com/company/display-media/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@displaymedia.fr","ZA Belle Aire
1 rue Vasco de Gama
17440 Aytre
FRANCE
contact@displaymedia.fr
http://www.displaymedia.fr",""
"MOBILE MARKETING ASSOCIATION FRANCE (MMA)","https://www.mobilemarketing.fr/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","cooordination@mmaf.fr","159 Rue Montmartre
75002 Paris
FRANCE
cooordination@mmaf.fr
https://www.mobilemarketing.fr/",""
"FEDERATION FRANCAISE DE LA FRANCHISE (FFF)","https://www.franchise-fff.com/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","info@franchise-fff.com","29 boulevard de Courcelles
75008 Paris
FRANCE
info@franchise-fff.com
https://www.franchise-fff.com/","How franchise networks have taken over digital: brand content, local growth lever, ….. The example of the POKAWA brand!"
"KEYNEO","http://www.keyneo.com","https://www.linkedin.com/company/keyneo/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@keyneo.com","214 rue de Lille
59290 Wasquehal
FRANCE
contact@keyneo.com
http://www.keyneo.com","Boost your CSR! Digital and omnichannel retailing facilitating stock optimisation & pooling, ship from store, second life. With Finisterestes29, antifood waste"
"PRELUDD PAYMENT SERVICES","https://preludd.com/","https://www.linkedin.com/company/preludd-payment-services","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@preludd.com","7 avenue Didier Daurat 
31700 Blagnac
FRANCE
contact@preludd.com
https://preludd.com/",""
