"compnay_name","website","facebook","linkdein","twitter","img","city","emails","address","description","presentation","business_challenge","business_sector","business_solution","business_intervention","business_product_name","business_product_description"
"ASTEN RETAIL","http://www.groupe-asten.fr","","https://www.linkedin.com/company/groupe-asten","https://twitter.com/groupeasten","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","communication@groupe-asten.fr","26 rue Gaston Planté
29850 Gouesnou
FRANCE
communication@groupe-asten.fr
http://www.groupe-asten.fr","","","OMNI CHANNEL COMMERCE","MARKETING / DATA / CUSTOMER RELATIONS
Loyalty 
RETAIL TECH / DIGITAL IN STORE
Softwares / ERP / Analytics","","","",""
"RAYONNANCE","https://rayonnance.fr/","https://www.facebook.com/RayonnanceTechnologies/","https://www.linkedin.com/company/107370/admin/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@rayonnance.fr","114 avenue Charles de Gaulle
92522 Neuilly-sur-Seine cedex
FRANCE
contact@rayonnance.fr
https://rayonnance.fr/","GO SPORT - Digitalization of stores for omnichannel commerce ","","OMNI CHANNEL COMMERCE","RETAIL TECH / DIGITAL IN STORE
Computer equipment / Smartphone / Tablets
Mobile applications","Solutions Workshops","GO SPORT - Digitalization of stores for omnichannel commerce","",""
"PHILIPS / SIGNIFY","https://www.signify.com/fr-fr","","https://www.linkedin.com/company/signifycompany/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","benedicte.lechevrel@signify.com","A l'attention Comptabilité Fournisseur
33 rue de Verdun
92150 Suresnes
FRANCE
benedicte.lechevrel@signify.com
https://www.signify.com/fr-fr","","","AGILE CUSTOMER EXPERIENCE","IT FOR COMMERCE
Apps
RETAIL TECH / DIGITAL IN STORE
Geolocation / M-Couponing","","","",""
"SOCLOZ","https://www.socloz.com/","https://www.facebook.com/socloz","https://www.linkedin.com/company/socloz/","https://twitter.com/Socloz_FR","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","sales@socloz.com","16-18 rue de Vienne
75008 Paris
FRANCE
sales@socloz.com
https://www.socloz.com/","","","OMNI CHANNEL COMMERCE","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Click & Collect
Order management","","","",""
"notify°","https://notify-group.com/","","https://www.linkedin.com/company/notify-perfect-timing","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@notify-group.com","3 rue d'Uzès
75002 Paris
FRANCE
contact@notify-group.com
https://notify-group.com/","","","MARKETING","MARKETING / DATA / CUSTOMER RELATIONS
CRM / Customer Relations Center
RETAIL TECH / DIGITAL IN STORE
AI","","","",""
"KLARNA","https://www.klarna.com/fr/","","https://www.linkedin.com/company/klarna","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","ventes@klarna.com","33 rue La Fayette
75009 Paris
FRANCE
ventes@klarna.com
https://www.klarna.com/fr/","Acquisition or Loyalty? Leveraging Klarna's Stocard mobile wallet media and shopper data to grow traffic and sales","","OMNI CHANNEL COMMERCE","IT FOR COMMERCE
E-commerce platforms
PAYMENT SOLUTIONS
Fintech","Solutions Workshops","Acquisition or Loyalty? Leveraging Klarna's Stocard mobile wallet media and shopper data to grow traffic and sales","",""
"BOWTZ TECHNOLOGY","https://www.blozi.com.cn/","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/chn.svg","CHINA","info@blozi.com","Building 24,  No. 1818, Chengbei Road,
Jiading District
201800 Shanghai
CHINA
info@blozi.com
https://www.blozi.com.cn/","","","MARKETING","","","","",""
"MIRANE","http://www.mirane.com","","https://www.linkedin.com/company/mirane/about/?viewAsMember=true","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@mirane.com","Le Forum Entrée 19
16 rue du 8 Mai 1945
33150 Cenon
FRANCE
contact@mirane.com
http://www.mirane.com","","","OMNI CHANNEL COMMERCE","MARKETING / DATA / CUSTOMER RELATIONS
Data / Effectiveness measurement / Processing / Database
RETAIL TECH / DIGITAL IN STORE
Dynamical POS advertising","","","",""
"Planet","https://www.weareplanet.com/","","https://www.linkedin.com/company/planet/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/gbr.svg","UNITED KINGDOM","enquiries@weareplanet.com","Tour Initiale
1 Terr. Bellini
92800 Puteaux
UNITED KINGDOM
enquiries@weareplanet.com
https://www.weareplanet.com/","4th Benchmark of Unified Commerce: ranking the top 100 brands to develop a unified customer journey, both online and in-store","","OMNI CHANNEL COMMERCE","IT FOR COMMERCE
E-commerce platforms
PAYMENT SOLUTIONS
Payment Kiosk / Payment terminal","Solutions Workshops","4th Benchmark of Unified Commerce: ranking the top 100 brands to develop a unified customer journey, both online and in-store","",""
"Rakuten France","https://global.fr.shopping.rakuten.com/","","https://www.linkedin.com/company/rakutenfrance/?original_referer=https%3A%2F%2Fwww%2Egoogle%2Ecom%2F","https://twitter.com/RakutenFR_Corp?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","nolwenn.canton@rakuten.com","92 rue Réaumur
75002 Paris
FRANCE
nolwenn.canton@rakuten.com
https://global.fr.shopping.rakuten.com/","How to optimize your sales on a marketplace? Key success factors for Merchants and Brands on Rakuten","","MARKETPLACES","IT FOR COMMERCE
E-commerce platforms
RETAIL TECH / DIGITAL IN STORE
Virtual commerce","Solutions Workshops","How to optimize your sales on a marketplace? Key success factors for Merchants and Brands on Rakuten","",""
"DISCOVER® GLOBAL NETWORK","https://www.discoverglobalnetwork.com","","https://www.linkedin.com/company/discover-global-network/mycompany/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contactus@discover.com","22 Boulevard Malesherbes
75008 Paris
FRANCE
contactus@discover.com
https://www.discoverglobalnetwork.com","","","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Payment card solutions","","","",""
"Kwanko","https://www.kwanko.com","https://www.facebook.com/KwankoGroupe/","https://www.linkedin.com/company/kwanko/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","sales.fr@kwanko.com","60 Boulevard du Maréchal Joffre
92340 Bourg-la-Reine 
FRANCE
sales.fr@kwanko.com
https://www.kwanko.com","How to boost your online sales with Affiliate Marketing ? Kwanko's self-service solution","","MARKETING","CONSULTING AGENCIES
E-retail agency
MARKETING / DATA / CUSTOMER RELATIONS
Advertising agency / Adnetworks","Solutions Workshops","How to boost your online sales with Affiliate Marketing ? Kwanko's self-service solution","SKALE with Kwanko","SKALE with Kwanko is a self-service offer (SaaS) dedicated to small and medium-sized companies, start-ups, and entrepreneurs who want to autonomously manage their affiliate program and boost their online sales thanks to the performance marketing model, at the best price and without any platform commission."
"AGORAPULSE","https://www.agorapulse.com/","https://www.facebook.com/AgorapulseFR/","https://www.linkedin.com/company/agorapulse-france/","https://twitter.com/agorapulsefr","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","pierre.seillier@agorapulse.com","132 rue de Rivoli
75001 Paris
FRANCE
pierre.seillier@agorapulse.com
https://www.agorapulse.com/","Retail & Ecommerce : How to measure the impact of social media on your sales?","","MARKETING","MARKETING / DATA / CUSTOMER RELATIONS
AB Testing / Online Selling Efficiency
Social Marketing / Community management","Solutions Workshops","Retail & Ecommerce : How to measure the impact of social media on your sales?","",""
"WIFIRST","","","http://www.linkedin.com/company/wifirst","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","commercial@wifirst.fr","26 rue de Berri
75008 Paris
FRANCE
commercial@wifirst.fr","","","SUPPLY CHAIN","RETAIL TECH / DIGITAL IN STORE
Beacon / NFC / RFID / WIFI
Digital signage","","","",""
"Marjory","https://marjory.io/","","https://www.linkedin.com/company/marjory-solution/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","berenice@marjory.co","229 r St Honoré
75001 Paris
FRANCE
berenice@marjory.co
https://marjory.io/","","","MARKETPLACES","IT FOR COMMERCE
E-commerce platforms
Marketplace / Professional seller","","","",""
"DIDUENJOY","https://www.diduenjoy.com/fr/","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","alexis@diduenjoy.com","55 boulevard Vincent Auriol
75013 Paris
FRANCE
alexis@diduenjoy.com
https://www.diduenjoy.com/fr/","","","","","","","",""
"SteerFox","","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@steerfox.com","94 rue Saint-Lazare
75009 Paris
FRANCE
contact@steerfox.com","Behind the scenes of ecommerce customer acquisition, what are the unexpected factors that influence consumer behaviors in 2022 ?","","MARKETING","MARKETING / DATA / CUSTOMER RELATIONS
Predictive marketing
SEO / SEA","Solutions Workshops","Behind the scenes of ecommerce customer acquisition, what are the unexpected factors that influence consumer behaviors in 2022 ?","",""
"ADFORALL","https://www.adforall.fr/","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","fabrice@adforall.fr","78 boulevard de la République
92100 Boulogne-Billancourt
FRANCE
fabrice@adforall.fr
https://www.adforall.fr/","","","MARKETING","MARKETING / DATA / CUSTOMER RELATIONS
SEO / SEA
SERVICES
Training / E-Learning","","","",""
"M3 MOBILE","http://www.m3mobile.net/en/main","","https://www.linkedin.com/company/m3mobile-aidc/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/deu.svg","GERMANY","orders@m3mobile.net","Am Holzweg 26
65830 Kriftel
GERMANY
orders@m3mobile.net
http://www.m3mobile.net/en/main","","","SUPPLY CHAIN","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Warehouse Management / Inventory Management / Financial Management
PAYMENT SOLUTIONS
M-payment","","","",""
"YATEO","http://www.yateo.com","https://www.facebook.com/YATEOAgenceDigitale/","https://fr.linkedin.com/company/yateo?original_referer=https%3A%2F%2Fwww.google.com%2F","https://twitter.com/YATEOdigital","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","yves@yateo.com","33 rue Linné
75005 Paris
FRANCE
yves@yateo.com
http://www.yateo.com","","","MARKETING","IT FOR COMMERCE
Websites development / E-shops
MARKETING / DATA / CUSTOMER RELATIONS
SEO / SEA","","","",""
"SMARTWAY (ZÉRO GÂCHIS)","https://smartway.ai/","https://www.facebook.com/smartwayai","https://www.linkedin.com/company/z-ro-g-chis/","https://twitter.com/smartway_ai","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@smartway.ai","6 Avenue Marcelin Berthelot
Batiment Le Newton
44800 Saint-Herblain
FRANCE
contact@smartway.ai
https://smartway.ai/","","","CSR","RETAIL TECH / DIGITAL IN STORE
AI
Softwares / ERP / Analytics","","","",""
"Django","http://www.django.eu","https://www.facebook.com/Django-110199071724668","https://www.linkedin.com/company/djangofrance/mycompany/?viewAsMember=true","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","vanessa.lavergne@django.eu","8 rue Auber
75009 Paris
FRANCE
vanessa.lavergne@django.eu
http://www.django.eu","","","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Fintech
SERVICES
Funding bodies / Financial services / Insurance","","","",""
"Sline","https://www.sline.io/","https://www.facebook.com/getslineapp","https://www.linkedin.com/company/getsline/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@sline.io","50 rue de la Boétie
75008 Paris
FRANCE
contact@sline.io
https://www.sline.io/","Renting: the great (e-)commerce revolution ","","AGILE CUSTOMER EXPERIENCE","IT FOR COMMERCE
e-commerce outsourcing
E-commerce platforms","Solutions Workshops","Renting: the great (e-)commerce revolution","",""
"Origami Marketplace","https://origami-marketplace.com/","","https://www.linkedin.com/company/origami-marketplace/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@origami-marketplace.com","165 Avenue de Bretagne
59000 Lille
FRANCE
contact@origami-marketplace.com
https://origami-marketplace.com/","","","CSR","IT FOR COMMERCE
E-commerce platforms
Marketplace / Professional seller","","","",""
"Belacom","https://www.belacom.fr/","","https://www.linkedin.com/company/belacom","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","marketing@belacom.fr","54 Boulevard Rodin
92130 Issy-les-Moulineaux
FRANCE
marketing@belacom.fr
https://www.belacom.fr/","How to reactivate inactive contacts in your database ?","","MARKETING","CONSULTING AGENCIES
Relationship marketing agency
MARKETING / DATA / CUSTOMER RELATIONS
CRM / Customer Relations Center
Loyalty 
Marketing automation","Solutions Workshops","How to reactivate inactive contacts in your database ?","",""
"Bloomreach","http://www.bloomreach.com/en","https://www.facebook.com/bloomreachlife","https://www.linkedin.com/company/bloomreach/","https://twitter.com/bloomreach_tm","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/nld.svg","NETHERLANDS","hello@bloomreach.com","Fred. Roeskestraat 109
1076 EE Amsterdam
NETHERLANDS
hello@bloomreach.com
http://www.bloomreach.com/en","The best partners to scale your International e-Commerce","","AGILE CUSTOMER EXPERIENCE","IT FOR COMMERCE
CMS / Web content management
E-commerce platforms","Solutions Workshops","The best partners to scale your International e-Commerce","",""
"Captain Wallet","https://www.captainwallet.com/","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","hello@captainwallet.com","44 Rue Richer
75009 Paris
FRANCE
hello@captainwallet.com
https://www.captainwallet.com/","","","","","","","",""
"CORREOS","","","https://www.linkedin.com/company/correos/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/esp.svg","SPAIN","international.business@correos.com","C-November s-n
Correos Rampa 7, Centro de Carga Aérea
28042 Madrid
SPAIN
international.business@correos.com","","","SUPPLY CHAIN","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Express delivery / Final mile delivery
Return management (reverse logistics)","","","",""
"TELELOGOS","https://www.telelogos.com/","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","sales@telelogos.com","3, Avenue du bois l'abbé
49070 Beaucouzé
FRANCE
sales@telelogos.com
https://www.telelogos.com/","","","","","","","",""
"NEDAP FRANCE","https://www.retail.nedapfrance.fr/","https://www.facebook.com/NedapFrance"," https://www.linkedin.com/company/nedap-france","https://twitter.com/Nedapfr","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact.retail@nedapfrance.fr","8 chemin d'Andrésy
95610 Eragny-sur-Oise
FRANCE
contact.retail@nedapfrance.fr
https://www.retail.nedapfrance.fr/","","","OMNI CHANNEL COMMERCE","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
RFID / Multichannel traceability
Warehouse Management / Inventory Management / Financial Management","","","",""
"DHL EXPRESS FRANCE","https://ecommerce.dhl.fr/","","https://www.linkedin.com/company/dhl-express-france/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","lina.zarrour@dhl.com","53 avenue Jean Jaurès
93350 Le Bourget
FRANCE
lina.zarrour@dhl.com
https://ecommerce.dhl.fr/","","","SUPPLY CHAIN","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Cross-border logistics
Express delivery / Final mile delivery","","","",""
"Brightweb","","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","laurent@brightweb.cloud","11 rue Dailly
92210 Saint-Cloud
FRANCE
laurent@brightweb.cloud","","","AGILE CUSTOMER EXPERIENCE","","","","",""
"Octolis","https://octolis.com/fr","https://www.facebook.com/octolis/","https://www.linkedin.com/company/octolis/","https://twitter.com/Octolis_app","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","sanjay@octolis.com","5 avenue du Général de Gaulle
94160 Saint-Mandé
FRANCE
sanjay@octolis.com
https://octolis.com/fr","","","DATA","MARKETING / DATA / CUSTOMER RELATIONS
CRM / Customer Relations Center
Data / Effectiveness measurement / Processing / Database","","","",""
"FenTech","https://fentech.ai/","","https://www.linkedin.com/company/fentech-solutions/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@fentech.ai","9 Rue Dareau
75014 Paris
FRANCE
contact@fentech.ai
https://fentech.ai/","Empower your business with Decision Intelligence: Price, Stock, Assortment","","DATA","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Predictive tools / Statistical tools / Multi-channel analysis
MARKETING / DATA / CUSTOMER RELATIONS
Predictive marketing","Solutions Workshops","Empower your business with Decision Intelligence: Price, Stock, Assortment","",""
"WOOP","http://www.woopit.fr","https://www.facebook.com/WOOP-101457364954719/","https://www.linkedin.com/company/woopit/mycompany/","https://twitter.com/letswoopit","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","yasni.meziane@woopit.fr","67 rue du Luxembourg
59800 Lille
FRANCE
yasni.meziane@woopit.fr
http://www.woopit.fr","The delivery management system for responsible and efficient deliveries","","OMNI CHANNEL COMMERCE","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Express delivery / Final mile delivery
Logistics & Supply chain softwares","Solutions Workshops","The delivery management system for responsible and efficient deliveries","",""
"TikTok","https://tiktok-prw2022.splashthat.com","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/gbr.svg","UNITED KINGDOM","","UNITED KINGDOM

https://tiktok-prw2022.splashthat.com","Discover how TikTok is changing the game in retail from small to large businesses","","","IT FOR COMMERCE
Digital Media / Digital signage
M-Commerce / Mobile sites","Solutions Workshops","Discover how TikTok is changing the game in retail from small to large businesses","",""
"Fourseeds by Meteors","https://fourseeds.io/en/","","https://www.linkedin.com/company/fourseeds","https://twitter.com/meteors_fr","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","olivier@meteors-data.com","135 avenue de la République
59110 La Madeleine
FRANCE
olivier@meteors-data.com
https://fourseeds.io/en/","","","OMNI CHANNEL COMMERCE","MARKETING / DATA / CUSTOMER RELATIONS
Data / Effectiveness measurement / Processing / Database
Loyalty","","","",""
"Guest Suite","http://www.guest-suite.com","https://www.facebook.com/GuestSuite.Fr/","https://www.linkedin.com/company/guest-suite","https://twitter.com/guest_suite","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","sales@guest-suite.com","10 rue Magdeleine
44200 Nantes
FRANCE
sales@guest-suite.com
http://www.guest-suite.com","+2,600 reviews in a year: how (and why) Banque Populaire Bourgogne Franche-Comté boost their acquisition strategy using reviews","","MARKETING","MARKETING / DATA / CUSTOMER RELATIONS
Loyalty 
SEO / SEA","Solutions Workshops","+2,600 reviews in a year: how (and why) Banque Populaire Bourgogne Franche-Comté boost their acquisition strategy using reviews","",""
"CPA- COLLECTIF PERFORMANCE","","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@cpa-france.org","30 rue Taitbout
75009 Paris
FRANCE
contact@cpa-france.org","Content to commerce, good practices to prepare for Black Friday and Christmas!","","","","Solutions Workshops","Content to commerce, good practices to prepare for Black Friday and Christmas!","",""
"OPENBRAVO","http://www.openbravo.com","https://www.facebook.com/OpenbravoSLU/","https://www.linkedin.com/company/39434/","https://twitter.com/Openbravo","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","marcom@openbravo.com","3 rue Kant - Bâtiment G -1er étage
59000 Lille
FRANCE
marcom@openbravo.com
http://www.openbravo.com","POS and Omnichannel at Norauto; the success of a digital transformation on a European scale","","OMNI CHANNEL COMMERCE","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Click & Collect
RETAIL TECH / DIGITAL IN STORE
Checkout & POS terminal / Self-checkout","Solutions Workshops","POS and Omnichannel at Norauto; the success of a digital transformation on a European scale","",""
"Eulerian","http://www.eulerian.com","https://www.linkedin.com/company/eulerian-technologies","https://www.linkedin.com/company/eulerian-technologies","https://twitter.com/EulerianTech","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","marketing@eulerian.com","60 rue de la Chaussée d'Antin
75009 Paris
FRANCE
marketing@eulerian.com
http://www.eulerian.com","","","DATA","MARKETING / DATA / CUSTOMER RELATIONS
Analytics / Audit / Audience measuring
Data / Effectiveness measurement / Processing / Database","","","",""
"Zyler","http://www.zyler.com","","https://www.linkedin.com/showcase/69210398/admin/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/gbr.svg","UNITED KINGDOM","sales@anthropics.com","195 Wood Lane
W12 7FQ London
UNITED KINGDOM
sales@anthropics.com
http://www.zyler.com","","","AGILE CUSTOMER EXPERIENCE","RETAIL TECH / DIGITAL IN STORE
Body Scanner / Augmented reality / Virtual reality
Virtual commerce","","","",""
"Cocolabs","https://www.cocolabs.com/fr/","","https://www.linkedin.com/company/cocolabs/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@cocolabs.com","12 rue du Helder
75009 Paris
FRANCE
contact@cocolabs.com
https://www.cocolabs.com/fr/","","","MARKETPLACES","IT FOR COMMERCE
E-commerce platforms
Technical integration","","","",""
"GROUPE INDUSTRIE SERVICES INFO (GISI)","","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","dfitte@gisi.fr","10 place du Général de Gaulle
BP 20156
92186 Antony
FRANCE
dfitte@gisi.fr","","","","FEDERATIONS / ASSOCIATIONS / PRESS
Press","","","",""
"ZKONG NETWORKS CO.,LTD","","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/chn.svg","CHINA","mkt@zkong.com","Building No. 17, Singapore Tech Park,
310000 Hangzhou 
CHINA
mkt@zkong.com","","","OMNI CHANNEL COMMERCE","RETAIL TECH / DIGITAL IN STORE
Labelling / Coding","","","",""
"Mollie","https://www.mollie.com/fr","","https://www.linkedin.com/company/molliepayments/mycompany/","https://twitter.com/molliepayments","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/nld.svg","NETHERLANDS","marianne.chanteperdrix@mollie.com","4 rue Jules Lefebvre
75009 Paris
NETHERLANDS
marianne.chanteperdrix@mollie.com
https://www.mollie.com/fr","","","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Online payment
Secure payment","","","",""
"World Sellers","https://world-sellers.com/","","https://www.linkedin.com/company/world-sellers/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","jllaloyaux@world-sellers.com","Blanchemaille
Euratechnologie
Rue de Fontenoy
59100 Roubaix
FRANCE
jllaloyaux@world-sellers.com
https://world-sellers.com/","Expand your sales globally thanks to your Web Factory - solutions and use cases (Jacadi. /Afibel) ","","OMNI CHANNEL COMMERCE","CONSULTING AGENCIES
E-retail agency
IT FOR COMMERCE
E-commerce platforms","Solutions Workshops","Expand your sales globally thanks to your Web Factory - solutions and use cases (Jacadi. /Afibel)","",""
