"exhibitor_company_name","exhibitor_city","exhibitor_state","exhibitor_country","exhibitor_description","exhibitor_website","exhibitor_linkedin","exhibitors_page_url"
"ADATA Technology","New Tapei City","","Taiwan","As a global leader of industrial-grade memory, ADATA Industrial is devoted to provide durable and reliable industrial-grade storage products, including SSDs, memory cards, embedded storage products and DRAM modules to customers worldwide. We have a global presence and is able to offer high-quality technical and after services to customers regardless of geographic location. At the same time, ADATA Industrial is also able to leverage its R&D and manufacturing capabilities to provide customized products and solutions that meet the unique needs of individual customers. With its commitment to quality and innovation, ADATA Industrial is ready to serve the industrial sector with the widest range of memory solutions and work hand-in-hand with customers to create a better world and enrich lives. For more information, please visit industrial.adata.com.","https:http://industrial.data.com","https://www.linkedin.com/company/adata-industrial","https://nrfbigshow.nrf.com/company/adata-technology"
"Adobe","San Jose","CA","United States","","https://www.adobe.com/commerce/magento.html","","https://nrfbigshow.nrf.com/company/adobe"
"ADP","Roseland","NJ","United States","Designing better ways to work through cutting-edge products, premium services and exceptional experiences that enable people to reach their full potential.  HR, Talent, Time Management, Benefits and Payroll.  Informed by data and designed for people.  Learn more at ADP.com","https:http://www.adp.com","https://www.linkedin.com/company/adp","https://nrfbigshow.nrf.com/company/adp"
"Adtaxi","Denver","CO","United States","Grow your business with Adtaxi. We are passionate about helping businesses grow. From start-ups to established brands that have a clear vision and desire for success, we partner with you to design a strategic marketing plan leveraging our full suite of digital solutions tailored to achieve your business goals.","https:http://www.adtaxi.com","https://www.linkedin.com/company/2816124","https://nrfbigshow.nrf.com/company/adtaxi"
"Advanced Wireless Communications","Lakeville","MN","United States","Advanced Wireless Communications recognizes the challenges facing retailers today. We offer an extensive suite of tools to increase sales, enhance the customer experience, and reduce overall shrink. We work closely with our customers to meet their needs, improve performance and grow financial results. Our engineers will use your floorplans to provide a comprehensive design for reliable two-way radio coverage or for compliance with police/fire radio requirements.","https:http://www.advancedwireless.com","https://www.linkedin.com/company/advanced-wireless-communications_2","https://nrfbigshow.nrf.com/company/advanced-wireless-communications"
"Advanced Wireless Communications","Lakeville","MN","United States","Advanced Wireless Communications recognizes the challenges facing retailers today. We offer an extensive suite of tools to increase sales, enhance the customer experience, and reduce overall shrink. We work closely with our customers to meet their needs, improve performance and grow financial results. Our engineers will use your floorplans to provide a comprehensive design for reliable two-way radio coverage or for compliance with police/fire radio requirements.","https:http://www.advancedwireless.com","https://www.linkedin.com/company/advanced-wireless-communications_2","https://nrfbigshow.nrf.com/company/advanced-wireless-communications"
"Adverity Inc","New York","NY","United States","Adverity is the fully-integrated data platform for automating the connectivity, transformation, and governance of data at scale.   The platform enables businesses to blend disparate datasets such as sales, finance, marketing, advertising, CRM, and logistics, to create a single source of truth over business performance. Through automated connectivity to hundreds of data sources and destinations, unrivaled data transformation options, and powerful data governance features, Adverity is the easiest way to get your data how you want it, where you want it, and when you need it.Adverity was founded in 2015 and is headquartered in Vienna with offices in London and New York.   Learn more at www.adverity.com.","https://hubs.la/Q01pk3_d0","https://www.linkedin.com/company/myadverity/","https://nrfbigshow.nrf.com/company/adverity-inc"
"Adyen","San Francisco","CA","United States","Adyen (AMS: ADYEN) is the financial technology platform of choice for leading companies. By providing end-to-end payments capabilities, data-driven insights, and financial products in a single global solution, Adyen helps businesses achieve their ambitions faster. With offices around the world, Adyen works with the likes of Facebook, Uber, H&M, eBay, and Microsoft.","https://nrfbigshow.nrf.com/company/adyen","https://www.linkedin.com/company/adyen/mycompany/verification/","https://nrfbigshow.nrf.com/company/adyen"
"Aetrex","Teaneck","NJ","United States","Aetrex Worldwide, Inc. is widely recognized as the global leader in foot scanning technology, orthotics, and comfort and wellness footwear. Aetrex has developed state-of-the-art foot scanning devices, including Albert, Albert 2 and iStep, designed to accurately measure feet and determine foot type and pressure points. Since 2002, Aetrex has placed over 10,000 scanners worldwide that have performed more than 40 million unique customer foot scans, currently averaging more than 2.5 million scans a year.    The company is renowned for its over-the-counter orthotics – the worlds #1 foot orthotic. With fashion, function and quality at the forefront, Aetrex also designs and manufactures stylish, performance footwear. Based in New Jersey, Aetrex is consistently named one of New Jersey’s Top 100 Privately Held Companies and was also included in NJBIZ’s Top 30 Manufacturing Companies. It has remained privately owned by the Schwartz family for three generations. For additional information, visit www.aetrex.com.","https:http://www.aetrex.com","","https://nrfbigshow.nrf.com/company/aetrex"
"Afresh Technologies","SAN FRANCISCO","CA","United States","Afresh is the world’s leading fresh technology company helping grocers make smarter decisions throughout their fresh supply chain, ultimately increasing profits and significantly reducing food waste.","https:http://www.afreshtechnologies.com","https://www.linkedin.com/company/afreshtechnologies/","https://nrfbigshow.nrf.com/company/afresh-technologies"
"AfterShip","Singapore","","Singapore","AfterShip is a post-purchase platform used by retailers such as, Gymshark, KylieSkin, and GoPro, as well as marketplaces such as eBay, Etsy, and Amazon. It offers branded shipment tracking, notifications, returns and exchanges, that drive revenue and an improved customer experience. The real-time shipment tracking and notifications help companies increase sales and build brand loyalty. AfterShip's network of 980+ global couriers makes it a perfect solution for multi-national retailers and leading DTC brands. Our clients see up to 25% of revenue generated via tracking pages and notifications, as well as a 40%-50% decrease in WISMO tickets.  The insightful portal helps companies decrease shipping costs and optimize delivery times. Our clients have seen a 85% decrease in shipment times and a 55 point increase in NPS scores after implementing AfterShip as their post-purchase and returns solution.","https:http://www.aftership.com","https://www.linkedin.com/company/aftership/","https://nrfbigshow.nrf.com/company/aftership"
"Agilence, Inc.","Mount Laurel","NJ","United States","Agilence is a SasS data management and analytics platform used at over 80,000 grocery, retail, restaurant, and pharmacy locations. The Agilence platform unites digital and physical transactions from across the enterprise to unlock insights, improve operating outcomes, and deliver a consistent brand and customer experience everywhere your company meets the customer. Learn more at https://www.agilenceinc.com/","https:http://www.agilenceinc.com","https://www.linkedin.com/company/agilence-inc/","https://nrfbigshow.nrf.com/company/agilence-inc"
"Agillitics","Marietta","GA","United States","Agillitics is an end-to end-supply chain analytics solution provider that focuses on the retail space. Their product, AgiSight, ties together supply chain data sources like WMS, OMS and TMS to allow for one version of the truth in real time. Agisight can also help to store data long term for important historic analysis. If you are looking to take a step toward the future of supply chain data analysis, you have to stop by booth (236) and check out an AgiSight demo for yourself.","https://agillitics.com/","https://www.linkedin.com/company/agillitics/","https://nrfbigshow.nrf.com/company/agillitics"
"AiFi Inc.","Santa Clara","CA","United States","","","","https://nrfbigshow.nrf.com/company/aifi-inc"
"AiFi Inc.","Santa Clara","CA","United States","","","","https://nrfbigshow.nrf.com/company/aifi-inc"
"Aila Technologies, Inc.","Natick","MA","United States","Self-Service, Reimagined. Aila helps top retailers enable self-service experiences that are fast, intuitive, and convenient. Get a hands-on demo with our product experts — and experience our platform's power, modularity, and flexibility for self-service innovation.   Shorten lines, offset labor shortages, and modernize your in-store experience. Aila’s Interactive Kiosk enables fast, convenient, and safe self-service experiences for shoppers and associates, including:   Pickups, Drop-Offs, & Returns Self-Checkout/POS  Price Checking & Product Discovery Loyalty Sign-ups Aila is the trusted partner to many of the world’s most innovative retail brands, including American Eagle, Fablectics, Big Lots, Rent the Runway, Ulta, Stop & Shop, and more. For more information, visit: https://ailatech.com/","https:http://www.ailatech.com","https://www.linkedin.com/company/aila-technologies/","https://nrfbigshow.nrf.com/company/aila-technologies-inc"
"Akeneo","Somerville","MA","United States","Akeneo Product Cloud is a composable SaaS-based solution for orchestrating, activating, and optimizing compelling and consistent product experiences across all owned and unowned channels, including eCommerce, mobile, print, points of sale, and beyond. With its open platform, leading PIM, add-ons, connectors, and marketplace, the Akeneo Product Cloud dramatically improves product data quality and accuracy, simplifies catalog management, and accelerates the sharing of product information across owned and unowned channels and locales.","https:http://www.akeneo.com","https://www.linkedin.com/company/akeneo/","https://nrfbigshow.nrf.com/company/akeneo"
"ALCMEON","Paris","","France","Messaging is becoming the new consumer reflex: customers want to communicate with businesses exactly like they do with their friends and family.   Alcméon is a Saas platform that lets retailers reinvent and improve Customer Experience thanks to business messaging.  With Alcméon, our best-of-breed business messaging solution for the entire customer journey, brands and retailers can deliver a premium CX in marketing, e-commerce and customer care across all messaging channels 24/7 at scale. Alcméon helps enterprises centralise all messages (Facebook, Messenger, Apple Business Chat, WhatsApp, GoogleMyBusiness, Twitter, Instagram, WeChat,…) in the same place to respond quickly and meaningfully to consumers. Our powerful hybrid technology combines seamlessly intelligent automation, AI, chatbots and human intervention to reduce costs and increase customer satisfaction.  Alcméon is an Apple Business Chat CSP, a Facebook Marketing Partner and Google Business Message Partner.","https:http://www.alcmeon.com","","https://nrfbigshow.nrf.com/company/alcmeon"
"Algolia","San Francisco","CA","United States","Algolia is revolutionizing search and discovery by providing the world's most powerful API-First Search and Discovery Platform with its unique hybrid search engine, which is a combination of keyword and vector-based semantic search via NeuralSearch technology, in a single API. Algolia empowers both builders and business users with a better way to build unique and engaging end user experiences at Internet scale to predict what customers want with blazing fast speed and the best application browse experience leading to more remarkable Discovery. Algolia is your guide to the world’s content powering discovery where you live, work, and play. Discovery, as a result, is reinvented as the right content finds each user to inform, enrich and surprise. More than 12,500 companies including Under Armour, Birchbox, Stripe, Slack, Medium, and Zendesk rely on Algolia to manage over 1.5 trillion search queries a year. Algolia is headquartered in San Francisco with offices in New York, Atlanta, Austin, Paris, London, Bucharest, and Sydney. To learn more, visit www.algolia.com.","https:http://www.algolia.com","https://www.linkedin.com/company/algolia/","https://nrfbigshow.nrf.com/company/algolia"
"Algoretail","Tel Aviv","","Israel","On Shelf Availability is what retail is all about.   What if I will tell you that you can reduce by  - 33% the cost of your in-store back storage and shelf-stocking operations, - and increase sales by 1%-3%? What if any store employee does multiple tasks that will reduce 20% of your labor cost, backed by instant training?  That's why we designed the first comprehensive solution for retail, consisting of: predictive orders automatic planning task management app for shelf stockers  Why would you choose Algoretail? Platform Play - one platform, highly modular  100% SaaS  8-12 weeks to value  no hardware  self-serve mechanisms ready to scale - cloud-based and AI driven solution","https://algoretail.io/","https://www.linkedin.com/company/algoretail/","https://nrfbigshow.nrf.com/company/algoretail"
"Allink","Seoul","","Korea (South)","","https:http://www.allink.io","https://www.linkedin.com/company/allink2019/","https://nrfbigshow.nrf.com/company/allink"
"Alloy Automation","New York","NY","United States","Today there are thousands of apps in the ecommerce world, most of which don't connect or integrate fully with each other. Even when app teams do build integrations, they're leveraging resources that could be dedicated towards core platform development. Integrations are tablestakes nowadays, but they're still tedious to build and maintain. At Alloy, we're building the missing connectivity layer for ecommerce. We integrate with hundreds of apps - ranging from Shopify to Netsuite - so you don't have to. We have two core products: Embedded & Automation. Software companies can leverage Alloy Embedded to build out an entire integration ecosystem. Their customers, the brands, can then benefit from native integrations in their existing tool stack. Once a brand has outgrown those integrations, they can upgrade to Alloy Automation to create more full-fledged automations of their own. Alloy is a Series A startup backed by $27M from a16z, Y Combinator, Bain Capital, & the founders of Webflow, Attentive, Shopify, & more.","https:http://www.runalloy.com","https://www.linkedin.com/company/alloy-automation","https://nrfbigshow.nrf.com/company/alloy-automation"
"Alpha","San Francisco","CA","United States","TO SIMPLIFY & ENRICH THE WAY WE CONNECT BRANDS, PRODUCTS, AND PEOPLE. That’s our mission. It’s challenging, but we believe it’s worthy work to rethink, transform, and unbound new value in the tools and experiences we encounter daily in our lives, both as marketers and consumers.  ALPHA is s mobile-first Connection Clienteling platform that simplifies and enriches the Sales Associate vs. Clients relationship. With ALPHA, sales associates extend a ""Red Carpet"" like shopping experience to their clients — a bespoke communication channel filled with product inspiration, client requests, style sessions, and one-click buy & try capabilities. ​We were founded in 2021 between Florence and San Francisco to bring to all our partners and clients what we learned in the past 20+ years working in luxury, retail and digital.  ALPHA wants to remove the dry complexity, revalue the human touch and personal connections, and redefine what digital tools and experiences mean in luxury. We provide innovative tools and shopping services to keep Brand/SA + Clients engaged in inspiring conversations about products and style.","https://www.meetalpha.it","https://www.linkedin.com/company/meetalpha","https://nrfbigshow.nrf.com/company/alpha"
"Alpha AR","Tallinn","","Estonia","","","","https://nrfbigshow.nrf.com/company/alpha-ar"
"Amazon Web Services, Inc","Seattle","WA","United States","For over 15 years, Amazon Web Services has been the world’s most comprehensive and broadly adopted cloud offering. AWS has been continually expanding its services to support virtually any cloud workload, and it now has more than 200 fully featured services for compute, storage, databases, networking, analytics, machine learning and artificial intelligence (AI), Internet of Things (IoT), mobile, security, hybrid, virtual and augmented reality (VR and AR), media, and application development, deployment, and management from 84 Availability Zones within 26 geographic regions, with announced plans for 24 more Availability Zones and eight more AWS Regions in Australia, Canada, India, Israel, New Zealand, Spain, Switzerland, and the United Arab Emirates. Millions of customers—including the fastest-growing startups, largest enterprises, and leading government agencies—trust AWS to power their infrastructure, become more agile, and lower costs. To learn more about AWS, visit aws.amazon.com.","https://aws.amazon.com/","https://www.linkedin.com/showcase/buywithprime/?trk=affiliated-pages","https://nrfbigshow.nrf.com/company/amazon-web-services-inc"
"AMBIANCEiQ","Camarillo","CA","United States","Let science do the work! We are the first and only Nationwide Company provider of background music, scent marketing, visual messaging and AV systems, using cutting-edge Neuroscience to every aspect of the in-store experience. Scientific studies prove that if when you create a unique, comfortable environment, stimulating the senses, customers return again and again. When shoppers feel good in a space, they stay longer and spend more. Our 95% Customer Retention Rate says it all! We help our clients create a custom in-store experience unique to their brand.    nationwide provider of business background music, scent marketing, visual messaging, and AV systems to commercially apply cutting-edge Neuroscience to every aspect of the in-store experience. nationwide provider of business background music, scent marketing, visual messaging, and AV systems to commercially apply cutting-edge Neuroscience to every aspect of the in-store experience. nationwide provider of business background music, scent marketing, visual messaging, and AV systems to commercially apply cutting-edge Neuroscience to every aspect of the in-store experience.","https:http://www.ambianceiq.com","https://www.linkedin.com/in/candy-foust-532b0045/","https://nrfbigshow.nrf.com/company/ambianceiq"
"Ameria AG","Heidelberg","","Germany","AMERIA AG is the world leader for integrated gesture control in public spaces – helping manufacturers and retailers to sell more and to acquire personalized customer data with touchfree interaction that inspires customers. From retail to consumer goods manufacturers to public institutions, the areas of application for AMERIAs human-machine interfaces are practically limitless. With the all-in-one solution of software, hardware and consulting, AMERIA provides the link from offline to online and even into new worlds, like the metaverse, and sets the new standard for public interactions. AMERIAs deep tech approach has gained enormous importance for many companies due to current global developments and the acceleration of digitization.","https:http://www.ameria.com","https://www.linkedin.com/company/ameria-ag/","https://nrfbigshow.nrf.com/company/ameria-ag"
"Amperity","Seattle","WA","United States","Amperity is the leading B2C Enterprise CDP trusted by the world’s most loved brands to accelerate their shift to first-party customer relationships.  Amperity has revolutionized the way brands identify, understand, and connect with their customers by leveraging AI to deliver a comprehensive and actionable Customer 360.  This unified view improves marketing performance, fuels accurate customer insights, and enables world-class, realtime customer experiences. With Amperity, technical teams are freed from endless integration and data management, and business teams have direct access to the comprehensive data they need to build long-term customer loyalty and drive growth. Amperity serves many of the world’s most loved brands, including Wyndham Hotels & Resorts, Alaska Airlines, Michaels, Tapestry, Lucky Brand, DICK's Sporting Goods, Crocs, Servco Automotive Retail, First Hawaiian Bank, and many more.  To learn more, visit Amperity.com.","https:http://www.amperity.com","https://www.linkedin.com/company/amperity/","https://nrfbigshow.nrf.com/company/amperity"
"Anaplan","San Francisco","CA","United States","Anaplan is a transformative way to see, plan, and run your business. Using our proprietary Hyperblock™ technology, Anaplan lets you contextualize real-time performance, and forecast future outcomes for faster, confident decisions. Anaplan enables connected strategy and planning across your enterprise to move your business forward. Based in San Francisco, Anaplan has over 200 partners and more than 2,000 customers worldwide. To learn more, visit www.anaplan.com.","https:http://www.anaplan.com","https://www.linkedin.com/company/anaplan/","https://nrfbigshow.nrf.com/company/anaplan"
"ANT USA","Mason","NH","United States","ANT USA develops, implements and supports The Buyer's Toolbox Merchandise Planning, Assortment Planning and Open To Buy solutions, along with related software for Sales Forecasting, Price and Margin Optimization, Promotion Impacts, as well as Basic Allocation & Replenishment for the Retail, Wholesale, Ecomm and MultiChannel verticals.  Our solutions are easy to use, quick to implement, powerful, flexible and cost effective.  Available in OnPremise, Cloud or Hybrid deployment models Come meet The Planning Robot - the solution to the Planning Problem. We have been in business since 1992, with over 150 planning systems successfully implemented. Customers range from industry leaders to regional independents. Our global customer base centers in US and Canada, but extends through Central and South America, Europe, Middle East, Australia and New Zealand.  We have a long term outlook and deliver outstanding value with innovative software development, industry-leading quality of customer support, and aggressive system and service pricing.","https:http://www.antusa.com","","https://nrfbigshow.nrf.com/company/ant-usa"
"antuit.ai","Frisco","TX","United States","Serving Fortune 1000 companies globally, antuit.ai – now part of Zebra Technologies – is rethinking the way retail and consumer products companies use AI to solve business problems, empowering them to digitally transform their businesses and achieve substantial business results.  Antuit.ai solutions optimize inventory decisions with demand intelligence. From planning through execution, companies predict, shape, and execute demand by connecting decisions, removing uncertainty, and doing more with less.  To learn more, visit https://www.antuit.ai/.","https://www.antuit.ai/","https://www.linkedin.com/company/antuitai","https://nrfbigshow.nrf.com/company/antuitai"
"Anyline Inc.","Fort Lee","NJ","United States","Anyline brings Barcode Scanning to mobile devices. Anyline helps to streamline processes in shelf management, scan & go, and many other retail use cases. Anyline SDK runs on all major mobile platforms, supports the most popular cross-platform technologies for mobile development and can also be integrated in web applications.  Anyline scans the hardest to read objects, including scratched, torn and warped labels Anyline offers an unrivalled customer experience that creates a seamless connection between the physical and the digital  By leveraging a wealth of real-world data, Anyline delivers actionable insights and recommendations that promote transparency and maximize business value.","https://anyline.com/","https://www.linkedin.com/company/anyline/","https://nrfbigshow.nrf.com/company/anyline-inc"
"APG Cash Drawer","Minneapolis","MN","United States","APG has built a reputation as the supplier of choice for cash management solutions for retail, grocery, hospitality, and quick-serve for thousands of customers throughout the world. Our products and brand are differentiated by our ability to deliver innovative technologies that globally enhance efficiency and security at the point of sale. To learn more about our products, visit www.apgcashmanagement.com.","https:http://www.apgsolutions.com","https://www.linkedin.com/company/apgglobalsolutions","https://nrfbigshow.nrf.com/company/apg-cash-drawer"
"Appriss Retail","Louisville","KY","United States","Appriss Retail, a division of Appriss Inc., provides artificial intelligence-based solutions to help retailers protect margin, unlock sales, and cut shrink. With more than 20 years of retail data science expertise, the company’s Software-as-a-Service (SaaS) platform generates advanced analytical insights and real-time decisions that drive action throughout the organization, including operations, finance, marketing, and loss prevention. Its performance-improvement solutions yield measurable results with significant return on investment among retail store, ecommerce, and inventory functions. Appriss Retail serves a global base of leading specialty, apparel, department store, hard goods, big box, grocery, pharmacy, and hospitality businesses in more than 150,000 locations (brick and mortar and online) in 45 countries across six continents. For more information about Appriss Retail, visit https://apprissretail.com.","https://apprissretail.com","https://www.linkedin.com/company/appriss-retail/","https://nrfbigshow.nrf.com/company/appriss-retail"
"AppyHere","San Carlos","CA","United States","","https:http://www.appyhere.com","","https://nrfbigshow.nrf.com/company/appyhere"
"Aptos, LLC","Alpharetta","GA","United States","Aptos: The Leader in Unified Commerce  Aptos Unified Commerce solutions connect products to customers to unify both the customer experience and the enterprise. With hundreds of retailers live on our technology in more than 100,000 stores around the world, we know better than anyone how to empower the modern store as part of a unified omnichannel brand experience. Our unparalleled industry experience, earned over 40 years delivering technology to retail, informs and enriches our unique combination of CRM, Merchandising, Sales Audit, Order Management and Store Experience solutions.  Visit us at NRF booth #4639 to see the value of our comprehensive unified commerce solutions brought to life through numerous real-world shopping experiences, including: -Empowering the modern store with cloud-based, mobile and integrated POS experiences -Real-time inventory visibility across the extended retail enterprise -Acquiring (and activating) new customers across channels, locations, segments and brands -Integrated order management, including sourcing, routing and a full array of store fulfillment options","https://aptos.com","https://www.linkedin.com/company/aptos-retail/","https://nrfbigshow.nrf.com/company/aptos-llc"
"ARC by ChargeItSpot","Philadelphia","PA","United States","Founded in 2011, ChargeItSpot® has revolutionized the world of mobile device management, charging, and security. Our locker-based kiosk solutions are thoughtfully designed to empower businesses. The ChargeItSpot® kiosk elevates the in-store mobile experience by providing free & secure phone charging for consumers. In return, businesses and venues drive engagement, increase dwell time/purchase amount, and capture valuable marketing data. In 2022, we launched ARC™,  a fully-automated device management solution to store, secure, and charge company-owned handheld devices that associates use to do their jobs. From a recent case study, ARC has been able to help the client achieve: a 99% reduction in device shrink, a 97% reduction in time spent on device oversight, an 82% reduction in time spent on employees picking up and returning devices, and a 67% reduction in device swap out time. ARC is on track to save this client $60,000 annually.  ChargeItSpot is constantly innovating and dedicated to empowering people to focus on what matters most.To learn more, visit chargeitspot.com and experiencearc.com","https://experiencearc.com/","https://www.linkedin.com/company/chargeitspot-arc/","https://nrfbigshow.nrf.com/company/arc-chargeitspot"
"ArcBest","Fort Smith","AR","United States","ArcBest® is a leading logistics company with solutions for any supply chain need. We offer ground, air and ocean transportation through our LTL carrier ABF Freight®, our Panther Premium Logistics® fleet, and an extensive capacity network. But we’re more than logistics. We’re creative problem solvers, focused on understanding our customers’ products and services, and designing solutions that simplify processes, improve productivity and grow business.","https://arcb.com/?refnum=nrf0122&amp;utm_source=nrfbigshow&amp;utm_medium=display&amp;utm_campaign=nrfbigshow&amp;utm_term=event&amp;utm_content=Homepage","https://www.linkedin.com/company/arcbest","https://nrfbigshow.nrf.com/company/arcbest"
"Archive","Los Altos","CA","United States","Archive is a technology company that builds customized resale programs for brands to take ownership of their secondhand markets. We work with brands such as The North Face, Oscar de la Renta, and Cuyana to create bespoke, innovative resale experiences that keep clothing in wear longer, while simultaneously bringing in a new revenue stream, building customer loyalty, and driving new customer acquisition. Our world-class technology and design teams offer infinite flexibility to build a unique experience tailored to each brand, and our logistics expertise allows for resale of a variety of models including peer-to-peer, in-store take-back, returns, and owned inventory. Learn more at archiveresale.co.","https://archiveresale.co/","https://www.linkedin.com/company/archiveresale","https://nrfbigshow.nrf.com/company/archive"
"Arht Media","Toronto","ON","Canada","","https://arhtmedia.com/","https://www.linkedin.com/company/arhtmediainc","https://nrfbigshow.nrf.com/company/arht-media"
