"location_name","location_review","location_rating","location_type","location_address","location_website","location_contact_no","location_latitude","location_longitude"
"Ocean Cafe","323 reviews","4.6","Puerto Rican restaurant","Ocean Cafe, 114 Main St, Woonsocket, RI 02895","","(401) 597-0006","42.002219499999995","-71.5148298","Service & Food are always great. Only been 3x but will definitely go again. 1st time I had the white rice with habichuelas  and carne guisada, 2nd time I got pernil and yellow rice, with pollo guisado. Here's what I got this time, see photos,Good food good service. Large portions for small money. Not fancy, just delicious comfort food.,Really good Spanish food 🥑 and they serve you food like a 👑❤️😊. Very good service,Homemade Spanish food. Fair priced big servings. Good find.,The best Spanish food I have had ever,Honestly some of the best food I have eaten and the whole staff are really kind and out going I definitely recommend eating here,Great food; good prices I'll be back to eat.,Good food
Good service
Good prices 🥂"
"River Falls","1,493 reviews","4.1","Bar & grill","River Falls, 74 S Main St, Woonsocket, RI 02895","riverfallscomplex.com","(401) 235-9026","41.9988098","-71.5169677","Oh my goodness!! I was blown away at the service and the views! I felt like I was at a 5star restaurant in New York. It's been a while since I been there and wow is my word. We saw a crane fly in we sat by the water my shrimp tacos were so flavorful but careful they are spicy just ask for the boom boom sauce to be on the side. I also added avocado to mine that is extra. They are on the appetizer menu but I had them as my main corse for lunch they are big!! Definitely worth eating and buying! My mom had a build your own burger and she loved it with the side of thier AMAZING sweet potato fries.,Had a pretty good dining experience there this evening. The outdoor seating area is big and almost all of it overlooks the Blackstone River. It's really pretty and they're on OpenTable making the reservation process a breeze. Unfortunately our seats weren't near the water but we still had a great time.

My Mojito ($10) didn't have a lot of mint: it was okay but my wife's Cosmo was great. Our appetizer, the mozzarella bursts ($10) took forever to come out and were barely warm when they finally arrived. They were okay, nothing special. Our child's fish and chips however were great and came with a pretty tasty serving of tartar sauce as well as scrumptious fries. The fries were a hit with our table.

My steak tip Caesar salad was interesting. The steak tips were of good quality and delicious while the actual croutons felt cheap. Why add premium ingredients to low quality salad ingredients? Thought that was a bit odd.

My wife really enjoyed her blackened chicken Alfredo ($19.99) and it was made gluten-free for her which was great although it was under seasoned.

One other thing to note is that the tables outside appear to be plywood. There's no coating on them. Seems like a great way to get splinters. A simple coating to seal them would make a world of difference.

Overall we had a good experience here and service was great even though they were slammed with a couple of big parties. The views are great and it made for a good evening overall. There's some limited parking but worth the struggle. Just don't miss out on the fries.,A great experience!
The service was excellent and welcoming.
The backyard is incredible to sit, have a drink or eat one of the best dishes. Very recommend,First time here from Texas.. open for great food .. I had the stufffed Haddock with the Parmesan mashed potatoes and veggie risotto one word Amazingly Delicious also my hubby had the shrimp scampi just as expected great tasting food…Along with great food is great Service and topping it off with great tasting dessert… love this place it was suggested to us by the neighboring Antique Store owners … now I suggest this wonderful place with great ambient… The manager stopped by and gave us scoop on what this restaurant has previously been and also the offer the upstairs for Events and not to forget the River runs alongside making it a great place to hang outside and enjoy the view… yes they Serve Alcohol
Angie from Texas,What a surprise. first time at falls. Great old mill building right on Blackstone river. Great outdoor large patio right on river edge. Large menu selection. Very good service drinks and food. Lots of parking across street. Nice area. Several other restaurants within a block. Don't be fooled because it's woonsocket.,For anyone hoping to relive the old days of Ma Glockners… you are better off just leaving it as a found memory.   The chicken was still pretty good, but I was so disappointed with the cinnamon rolls.  The service was also very slow.,Woonsocket is a charming New England mill town with beautiful red brick buildings. This riverside Cafe is delightfully pleasant with delicious food and friendly wait staff. Calamari appetizer, baked haddock, roast beef sandwich.,The Baby back ribs were pretty good and slid right off the bone.  The River provides a natural air conditioning and beautiful view."
"Broaster House","317 reviews","4.3","Chicken restaurant","Broaster House, 263 Pond St, Woonsocket, RI 02895","broasterhouseri.com","(401) 762-1717","42.0092758","-71.510963","Food ordered over the phone was delivered.  Food was good, it actually tasted like the original Broaster House Chicken this time.  I paid by credit card and when the driver came, he asked me to sign my slip.  No problem until I looked at the back the order slip and it had all my credit card information on it...  No reason for the driver to have that at all.  I asked to keep it but he said I could only have the customer copy.  How strange???  I'll be checking my credit account regularly...,10 piece boneless chicken family meal, was filling for 2 people. Plenty of leftovers for another day. Chicken fingers are more like it, but expected them to be more crispy and less oily. Mashed potatoes, are instant but gravy was a tasty bonus. Pasta was, ah if you've pasta, you will not be surprised.
Overall, not bad. My expectation was for a more crispy chicken like shell on the outside and a bit dryer on the inside.
Several people inside enjoying their meals, so dine-in is available.,I can't believe this is the ""best"" RI has to offer. The fried chicken was bland. No seasoning at all. No coating -- just plain fried skin. The ""ziti"" was pasta in canned tomato sauce. No seasoning, no spices, no cheese - it was horrible. The fries were soggy and greasy. This was awful.,Good sized fish but bad news a little over a quarter of it was all batter. Super greasy, fries looked and tasted like they were dropped in oil too soon. Wife said her 1/4 chicken dinner was good.,Great Chicken cooked in there unique way all the sides are hot and fresh ,Very friendly customer service,Awesome place for family style ( all you can eat ) broasted chicken, fries, pasta and salad, Friendly staff,I'm not sure how a place that boasts its chicken can have such bad, bland, absolutely unseasoned food. The chicken was awful. Like, worse than KFC bad. There's no seasoning in their batter, and the side dishes we got were just as bad. It's truly not difficult to make decent boasted or fried chicken, even a box of instant batter will give you a much better result than whatever this was.,Just started going back. Chicken is phenomenal.  I'm going to start trying other things. Good drinks, staff and owners are awesome. They have a back room to rent and  also cater. I would give them more than 5 stars if I could"
"Ricks Bar & Grill","194 reviews","4.4","Bar & grill","Ricks Bar & Grill, 297 Cass Ave, Woonsocket, RI 02895","order.online","(401) 769-7571","42.0054373","-71.4934367","Typical local neighborhood dive bar in all the great ways!  Fun, friendly staff and local crowd.   Food was delicious.,Solid full food menu, unreal fries, best prices, stiff drinks, hot bartenders that can handle the Woonsocket animals stumbling in and out. It’s like a cheaper chili’s or Buffalo Wild Wings with a pool table but the food actually tastes good,Tried comedy night on Wed. Weather was nice so it was outside, which is great (except for the loud ventilation fan).  Calzone was tasty, and good beer selection too.,I don’t ever leave reviews , But I have to just say Rick & Sarah are AMAZING in the kitchen. !! I’m addicted to the garlic burger & the famous broccoli chicken Alfredo pizza.
Absolutely amazing food !! You won’t be disappointed , also if you stop in , ask for a lemon drop shot (THE BEST),i have been going here for 2 years! Amazing customer service food is even better I'm am thankful to have them close to me!!!!,I personally love Rick's, it's a small dive with a single pool table and food round the clock. What more could you ask for if you're looking for a place to get close to someone or just have a drink and relax.,Great local bar. Good food, kitchen open late. Great atmosphere and last night they even had a bonfire outside. I would definitely go again. The patrons were very friendly and the bartender Brittany was great too!,Rick's has good pizza and good comedy on Wednesday's"
"Moonlight Restaurant","270 reviews","4.1","American restaurant","Moonlight Restaurant, 32 Rathbun St, Woonsocket, RI 02895","moonlightrestaurantmenu.com","(401) 766-5806","42.0093843","-71.5039773","They aren’t too bad! Kinda wish the onion was a bit smaller/ not a chunky. Kinda overwhelms. I would say taste wise, very similar to Eats in Seekonk. I would definitely try again! Turkey Club is amazing!,Have had Breakfast here several times since moving to Woonsocket and so far it's been excellent, and extremely fast as well which is always nice. The portions seem to have gotten a bit smaller recently but due to the circumstances of the Economy and Inflation it's understandable, it's still really great food😀,Order a steak and cheese thing came a mess and moldy bread will never eat here again and highly recommend nobody else does,Table was dirty , really hot inside.  The onion rings & fries very expensive. Onion rings tasted like cooked in fish batter , barely any onion in. Barely any meat in weiners. Never again.,Its ok, and the hot dog was cheap and fast,I would have given it a zero stars if I could. I went off the menu that they handed me and and ordered 18 hotdogs and two large onion rings. It came to $51.43. On the menu it said business orders are 15% off and there was a coupon on the flyer that said orders over $40 get a free large cheese pizza. They did not honor any of the coupons and they did not honor the 15% off for a business order. I run faith and hope Ministry and it was supposed to be for a staff meeting. The customer service of the store was bad I seen them throw out four bags of hot dog rolls that were moldy away. I was told that it was an old menu after I’ve already ordered and not before. Is this even on the big bang Yuve have the hotdogs are the same price as the menu. To me this is for advertisement and I would ask send my worst enemy there.,Adorable eating experience, the owner looks out for customers. The age range of regular  I observed were around 30+. Not a typical millennial environment. They serve vegan alternative.,Prices have dramatically gone up. And new prices are not marked on their menus or posted board that is hanging up."
"Patriots Diner","1,791 reviews","4.4","Diner","Patriots Diner, 65 Founders Dr, Woonsocket, RI 02895","patriotsdiner.com","(401) 765-6900","41.9913071","-71.4849263","Went in for the lobster rolls with my girl. I love the lobster rolls. Filled up and great taste. Especially the price for what you get. Especially the crispy fries. Excellent.  The thing that made the experience negative was the attitude the waitresses have given. As if they were to good to serve us for some reason. Wish they had friendlier staff. Definitely would’ve given these guys a better review.,Great family place! American fare with a Greek twist. Portions are huge and tasty.
We especially liked the spinach pie dinner and the pancakes that were as big as the moon.,Heard great things, and while meal was good, didn’t blow us away. They do have really affordable prices and it was good for a nice average breakfast. There’s also a check-in offer for $5 off on Yelp. Our server also acted like she had much better things to do and couldn’t even be nice to us. Will probably skip in the future,I love this old school diner. Breakfast is great, wait staff joyful and very attentive. Highly recommend this gem.,Great satisfaction to have breakfast in this restaurant, the food was very good and I really appreciate the service of the waitress Alicia,Tha place is clean cozy and the food is yummy and not expensive at all my waitress was nice checking on me . I will go again and you should go too,I spend a lot of money here and always satisfied for the most part but tonight took the cake. I have never seen a stuffed pepper loaded with mushy rice and a touch of hamburg. Its the other way around. Someone needs to follow a recipe. And to top it off, the girl food prepping sneezed twice, raising her arms in the air instead of covering herself. Just gross, especially in these times.,Amazing group of people that work here!! Delicious food taste and look homemade. We had meatloaf, mashed potatoes, green beans. Coffee milkshake, and mozzarella sticks with marinara and a side salad. The only 1 suggestion i have is to spin the lettuce a little more, it was still wet and the dressing wouldnt stick. The waitress was out of this world amazing. Its been a long time since i have had outstanding service like this. I will be back to visit. I hope they have blue berry pie next time."
"Savini's Pomodoro","783 reviews","4.3","Italian restaurant","Savini's Pomodoro, 476 Rathbun St, Woonsocket, RI 02895","savinispomodoro.com","(401) 762-5114","42.015322","-71.502861","This was our first time there. The experience was awesome. We ate outside all of the servers were super friendly. The prices are definitely budget friendly. We absolutely enjoyed our appetizer and our meals. We will definitely be coming back here more often.,We had our children's First Communion celebration party here and the food was delicious, as always. The staff was also very professional and prompt as well as friendly. The owners are always very nice as well. Love this place!,My husband and I recently has our wedding reception at Savini's. We originally booked in February 2020 and when we had to postpone until 2022, Charlene was so wonderful about the whole thing! She was so personable and we loved having her as our coordinator. The staff was amazing and food was delicious! the space was beautiful and perfect for our crowd. I had guests reaching out to me the days after asking for the parmesan crusted chicken recipe!,We had our reception here it was very beautiful thank you so much Charlene and Mrs. Savini you all were so great to us and we really appreciated it and enjoyed our special day spending it with great people thank you .,Had a party of about 13 people in a private room on Saturday night.
Want to praise the Guy who I did not get his name, but  he was excellent. Everything was perfect.
We all loved the food and all got different items on the menu.
He worked hard and got everything right. I would highly recommend this restaurant.  Five stars to the waiter and the Cook too.  All the rest of the staff that helped.,Haven't been there in a while.  We had the family style chicken which was very good. Came standard with fries AND roasted potatoes as well as pasta.  Salad bar was fresh and well kept and was part of the meal.  The dining room is kind of in the basement so there's not a lot of natural lighting which makes the atmosphere a bit dark.  Service was good.  Family style chicken places have quickly become scarce as the Bocce Club closed and Village Haven is changing hands as well.   Will definitely be back to Savini's,We were a party of 8 and had reservations for 6pm and at we had to chase down someone for our drinks just after 6:30.Granted it was a busy Saturday night but waiting just over a half hour and still not even a drink order? Then I had to track down the manager for bread.The young man  brought our utensils and napkins and put them in a pile on the table for us to pass around, lol. Well the food was actually very good and we have been there many times. Although others in our party have said they have always had slow service we ourselves usually go on less busy evenings. The manager came over and apologized but considering the service a drink , salad bar or even 10 percent off would have been a nice gesture. We will be back it won't be for a while.,Took my wife here for a special night out. Not what we expected. We dressed very nice because the place looked really nice and menu prices suggested a restaurant like experience. We got there and basically sat in a bar. Had typical bad bar music and had an event upstairs with loud bangs constantly through meal. Food was good. For the price point though we expected alot better."
"Tacos Don Nacho","535 reviews","4.5","Mexican restaurant","Tacos Don Nacho, 986 Social St, Woonsocket, RI 02895","","(401) 766-4264","42.014420199999996","-71.5011668","OMG Taco 🌮 Tuesday in Rhode Island. We were out in the Ocean State on Tuesday. I said hey guys let’s grab some tacos. I jumped on Google search 🔍 and found this hidden gem 💎.
Yoooooooooooo the taco’s hit the spot. The chicken 🍗 was seasoned to perfection along with the steak 🥩 , ground beef, and Chourico.

Jorge and Anthony said their burritos were BombBomb 💣. I didn’t get a chance to take a picture of their burritos 🌯. By the time I got in the car 🚗, their burritos were half-eaten.,My partner said “hey let’s stop for some tacos, I know this little place”. We stopped and I ordered 2 steak and 2 shredded carnitas tacos with everything. I chose flour over corn. It’s nice to be given a choice! For 8 tacos total, it was $24. They do take card payments! Always a plus.

Overall, they come on a paper plate with foil wrapped over them. I did enjoy them for lunch. I enjoyed the green hot sauce on the side. I wish my steak was not as chewy and on the drier side, so I took away a star. But overall, I’d order some tacos again if we are in the area!,1st time there.   got 2 hard shell beef tacos.  came on paper plates wrapped in foil.  got it home.   5 min drive and they were laying flat, soft and soggy. Nothing to write home about.
service was fast and indifferent.,Passed by going to a friends house and had to stop on way back. All 3 of us got different tacos as we figured be easier to eat on way home. Food was excellent. They have a place to sit and eat outdoors and very busy while there. Can't wait till next time in area want to stop and get the steak burritos. I heard from my friend they are excellent. If in area and hungry stop in and sit down outside and eat in your car or take home for dinner. Great selection and variety of food.,Food is excellent and the people working there are the best. Everything is made fresh in-house from scratch and so much effort is put into absolutely everything you order.

Burritos are my favorite, but the tacos are awesome as well.,Unbelievable quick stop for amazing authentic mexican food. The Chorizo is my go to option, but they have a selection of meats. The tortas are amazing. The bread and the salsa are exquisite. The nachos taste fresh. They sell Jarritos.

Also, they have a nice picnic area in the back with partial shade and a nice green overlook. Wonderful lunch date destination.,Good Mexican food. Simple some outside seating. It's a taco stand that makes good food. What more do you want?.,If you're looking for something like taco bell style tacos, covered in cheese and all that. Skip this place.

Don Nachos is 100% authentic Mexican. The real deal. Great homemade salsas, perfect meats, tortas, burritos, ceviche, tamales, menudo on Saturday morning.  It's lit kids. Don't sleep"
"Ye Olde English Fish & Chips","1,001 reviews","4.3","Seafood restaurant","Ye Olde English Fish & Chips, 25 S Main St, Woonsocket, RI 02895","yeoldeenglishfishandchips.com","(401) 762-3637","42.000217","-71.51713699999999","Had a great meal and great service. A++ highly recommended for fish and chips, the full  belly clams and the fries. Go have a great seafood meal! They even compped us an extra piece of fish for an unexpected delay. ❤️,Worlds Best Fish & Chips are at Ye Olde English Fish & Chips in Woonsocket, Rhode Island! Going back to the 1960's when I was a kid I been eating the Fish & Chips from Ye Olde English Fish & Chips!,Best seafood platter for the price around. Matter of fact, best seafood portion.sizes for the price around!
I got the seafood platter with Huge scallops and shrimp, nice piece of fish, and big beefy fries.
The front of the house were super friendly. Our tables were clean and they wiped between customers.
We will be back for sure!,I forgot how good they are, I won't let as much time pass between visits. Always great fish and chips or try the white chowder and clam cakes. Your gonna love it all too.,Deliciousness! We got the Captains plate and White Clam chowder. Everything was great except the chips were cold ( minus one star) we split the meal and was perfect amount for 2 of us.,I recently moved back to the area and I hadn't been to Ye Olde English Fish & Chips for more than 10 years. I was pleased to find the quality of the fish and chips here has remained as good as it always was.,I've had chicken here before but tried fish and chips for the first time. The fish portion was small and the coating was on the greasy side which made it hard to separate from the fish. The fries were soggy and mostly inedible. Disappointed.. won't get this again.,I stopped by Ye olde English fish and chips, yesterday and had a fish sandwich with tartar and fries with ketchup and malt vinegar.. yummy! I sure do miss New England's traditional foods."
"Park Ave Pizza Woonsocket","480 reviews","4.1","Pizza restaurant","Park Ave Pizza Woonsocket, 857 Park Ave, Woonsocket, RI 02895","parkavepizzari.com","(401) 765-3142","41.9916088","-71.5147217","Good pizza spot. Mozzarella sticks are the best and that marinara sauce with meat is the best I’ve ever had! Chicken figures and fries is a must for an easy dinner. I do have to the say the pizza isn’t the best I’ve ever had, but definitely decent enough that everyone should at least enjoy it. Staff is friendly. Be sure to leave a tip if they deliver!!!!,Absolutely love this place. We literally eat here 3 times a week. The customer service is always amazing. We Never have any complaints..,Best pizza around Woonsocket their food is just amazing they have a big variety everything I have order from here is delicious definitely recommend,Fish and chips were fresh and well made. Clam cakes were awesome and actually had some clams in them. Came in on a whim and was completely happy. YOU NEED SOME PARK AVE PIZZA IN YOUR LIFE!,While this is not my first choice for pizza they have an excellent menu and what I have ordered was very good. The subs and sides are great.,Park Ave pizza has never disappointed. The buffalo chicken pizza is one of my faves, steak and cheese is yum, wings are sososo good ❣️❣️ I will be ordering from them more.,I have to say I have never gotten my order delivered so fast (25 min.)..the food was so hot and fresh and so good...AMAZING,Love it 😊 the pizza is great and the sales not bad. The guys are really friendly,good service."
