"title_name","address_country","street_address","address_locality","address_region","telephone","email","website_url","check_claimed_or_not","ratings","description","open_hours","categories","other_phone_no","other_websites","page_urls"
"HSBC","US","2681 Broadway","New York","NY","(646) 981-2122","earnyourplace@yahoo.com","","Not Claimed","zero","","Regular Hours:Mon - Fri:8:00 am - 10:00 pm & Sat:9:00 am - 5:00 pm &","Banks, Commercial & Savings Banks, Financial Services, Financing Services, Loans, Mortgages, Mutual Funds, Savings & Loans","","","https://www.yellowpages.com/new-york-ny/mip/hsbc-469622035"
"Popular Bank","US","164 East 116th Street","New York","NY","(212) 831-1702","","","Claimed","zero","","Regular Hours:Mon:9:00 am - 6:00 pm & Tue:9:00 am - 4:00 pm & Sat:9:00 am - 2:00 pm & SunClosed","Banks, ATM Locations","","","https://www.yellowpages.com/new-york-ny/mip/popular-bank-3423355"
"Wells Fargo Bank","US","535 Fashion Ave","New York","NY","(212) 764-8260","","https://www.wellsfargo.com/locator/bank/535__7TH__AVE_NEW__YORK_NY_10018/?utm_campaign=Local_Listings&utm_source=Others&group=Community_Bank&loc=AC26943","Claimed","four","Wells Fargo & Company (NYSE: WFC) is a nationwide, diversified financial services company with $1.6 trillion in assets. Founded in 1852, Wells Fargo provides banking, insurance, investments, mortgage, and consumer and commercial finance through more than 8,700 locations, more than 12,500 ATMs, online (wellsfargo.com), and mobile devices. We’re headquartered in San Francisco, but we’re decentralized so every local Wells Fargo store is a headquarters for satisfying all our customers’ financial needs and helping them succeed financially. We do business with one in three U.S. households. Wells Fargo has more than 265,000 team members in 36 countries across our approximately 90 businesses. At the end of third quarter 2014, Wells Fargo ranked fourth in assets among U.S. banks and was the world’s most valuable bank by market capitalization. In 2013, Euromoney named Wells Fargo “Best Bank” in its Global Awards for Excellence, the first time a U.S.-based bank has won the top award. The Chronicle of Philanthropy ranked Wells Fargo’s corporate giving in the top two among all U.S. companies each of the past two years. Our vision: “We want to satisfy all our customers’ financial needs and help them succeed financially.”","Regular Hours:Mon:9:00 am - 5:00 pm & Sat:10:00 am - 1:00 pm & SunClosed","Banks, Commercial & Savings Banks, Loans","TollFree: (800) 869-3557","https://www.wellsfargo.com/locator/bank/535__7TH__AVE_NEW__YORK_NY_10018/?utm_campaign=Local_Listings&utm_source=Others&group=Community_Bank&loc=AC26943","https://www.yellowpages.com/new-york-ny/mip/wells-fargo-bank-476081141"
"Chase Bank","US","181 E 90th St","New York","NY","(646) 672-2420","Mark@undp.org","https://locator.chase.com/ny/new-york/181-e-90th-st?jp_cmp=rb%2FLocalListings%2Faff%2Fbranch%2Fna&y_source=1_MjA0MTI2NS01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","Claimed","zero","Find out how Chase can help you with checking, savings, mobile banking, and more. Deposit products provided by JPMorgan Chase Bank, N.A. Member FDIC.","Regular Hours:Mon:9:00 am - 5:00 pm & SatClosed","Banks, Commercial & Savings Banks, Credit Card-Merchant Services, Financial Services, Loans","Fax: (855) 322-0503","https://locator.chase.com/ny/new-york/181-e-90th-st?jp_cmp=rb/LocalListings/aff/branch/na","https://www.yellowpages.com/new-york-ny/mip/chase-bank-451405984"
"Santander Bank","US","711 3rd Ave","New York","NY","(877) 768-2265","UNPlaza2158@santander.us","http://locations.santanderbank.com/ny/new-york/711-third-avenue.html?utm_source=YextGMB&utm_medium=Local&utm_content=2158&utm_campaign=URL","Not Claimed","zero","40.7522486","Regular Hours: MONDAY-SUNDAY","Banks, Financial Planners, Financial Planning Consultants, Financial Services, Investments","Phone: (212) 949-1327, Phone: (212) 949-1320, Fax: (212) 949-1327","http://locations.santanderbank.com/ny/new-york/711-third-avenue.html?utm_source=YextGMB&utm_medium=Local&utm_content=2158&utm_campaign=URL, https://locations.santanderbank.com/ny/new-york/711-third-avenue.html, https://locations.santanderbank.com, http://santanderbank.com","https://www.yellowpages.com/new-york-ny/mip/santander-bank-462449106"
"Global Market Solutions Corporation","US","55 Broad St","New York","NY","(212) 381-8780","","","Not Claimed","zero","","Do you know the hours for this business?","Banks, Commercial & Savings Banks, Investments","","","https://www.yellowpages.com/new-york-ny/mip/global-market-solutions-corporation-465094263"
"BNY Mellon","US","111 8th Ave Fl 14","New York","NY","(646) 885-2029","","","Not Claimed","zero","","Do you know the hours for this business?","Banks, Commercial & Savings Banks, Loans","","","https://www.yellowpages.com/new-york-ny/mip/bny-mellon-472195364"
"Fifth Third Bank","US","5 Penn Plz Ste 2300","New York","NY","(646) 378-2109","","https://locations.53.com/search.html?q=10001&types=3233%7C3234%7C3235&filter=atm","Not Claimed","zero","","Do you know the hours for this business?","Banks, Commercial & Savings Banks, Investments, Loans, Real Estate Loans","","https://locations.53.com/search.html?q=10001&types=3233%7C3234%7C3235&filter=atm, https://www.53.com","https://www.yellowpages.com/new-york-ny/mip/fifth-third-bank-473500652"
"BB & T","US","1121 Avenue Of The Americas","New York","NY","(800) 226-5228","","http://www.bbt.com","Not Claimed","zero","","Do you know the hours for this business?","Banks, Commercial & Savings Banks, Financing Services, Loans","Phone: (212) 336-2000, Phone: (212) 822-8100","http://www.bbt.com, http://pbwt.com","https://www.yellowpages.com/new-york-ny/mip/bb-t-474185548"
"Corp Banca","US","845 3rd Ave","New York","NY","(212) 826-5100","affiliates@thesportsauthority.com","http://www.corpbancany.com","Not Claimed","zero","","Regular Hours:Mon - Fri:9:00 am - 5:00 pm &","Banks, Commercial & Savings Banks","Phone: (212) 980-1770, Phone: (212) 319-0651","http://www.corpbancany.com, https://banco.itau.cl/wps/portal/BICPublico/productos/itau-corpbanca-NY-branch","https://www.yellowpages.com/new-york-ny/mip/corp-banca-4206236"
"Central Federal Savings","US","1388 3rd Ave","New York","NY","(212) 737-4761","","http://www.manta.com/c/mtwrrv9/central-federal-savings","Not Claimed","zero","","Do you know the hours for this business?","Banks","","http://www.manta.com/c/mtwrrv9/central-federal-savings","https://www.yellowpages.com/new-york-ny/mip/central-federal-savings-1081802"
"Mega Gold Buyers NY","US","31 W 47th St","New York","NY","(212) 398-2185","","http://www.megagoldbuyers.net","Not Claimed","five","","Regular Hours:Mon - Sat:9:00 am - 5:00 pm &","Banks","","http://www.megagoldbuyers.net","https://www.yellowpages.com/new-york-ny/mip/mega-gold-buyers-ny-456109025"
"Coinsource Bitcoin ATM","US","1616 3rd Ave","New York","NY","(805) 500-2646","","http://www.coinsource.net","Not Claimed","five","","Regular Hours:Mon - Sun:Open 24 Hours:","Banks, Financial Services","","http://www.coinsource.net, https://coinsource.net?y_source=1_mte2mjg3odmtnze1lwxvy2f0aw9ulndlynnpdgu=, https://coinsource.net/?y_source=1_MTE2Mjg3ODMtNzE1LWxvY2F0aW9uLndlYnNpdGU=, https://coinsource.net?y_source=1_mtmymja0mdytnze1lwxvy2f0aw9ulndlynnpdgu=","https://www.yellowpages.com/new-york-ny/mip/coinsource-bitcoin-atm-550074948"
"Canadian Imperial Bank of Commerce","US","425 Lexington Ave","New York","NY","(212) 856-4000","","","Not Claimed","two","","Do you know the hours for this business?","Banks","Phone: (212) 856-3500, TollFree: (800) 465-2422","","https://www.yellowpages.com/new-york-ny/mip/canadian-imperial-bank-of-commerce-29588292"
"Bangkok Bank Public Company Limited","US","29 Broadway","New York","NY","(212) 422-8200","nantida.jirurawong@bangkokbank.com","https://www.bankthailand.info","Not Claimed","zero","Bangkok Bank Public Company Limited is a full-service financial institution that offers personal and business banking services. It is one of the largest regional banks in Southeast Asia. The bank offers a range of home, personal, traveling and energy saving loans. Bangkok Bank Public Company Limited provides cash management, lending and investment services. The bank operates more than 750 branches throughout the world, as well as offers 24-hour phone banking services. It offers mutual funds, debit and credit cards and bonds. Bangkok Bank Public Company Limited provides checking, savings and foreign currency accounts. It additionally offers Internet banking services that include balance checking, funds transfer and bill payment options. It maintains a location in New York City.","Regular Hours:Mon - Fri:9:00 am - 5:00 pm &","Banks","Fax: (212) 422-0728, TollFree: (844) 826-7379","https://www.bankthailand.info, http://bankthailand.info","https://www.yellowpages.com/new-york-ny/mip/bangkok-bank-public-company-limited-12142261"
"Atlantic Bank, a division of Flagstar Bank, N.A.","US","404 Park Ave S","New York","NY","(212) 447-9000","","https://www.mynycb.com","Claimed","zero","At New York Community Bank, a division of Flagstar Bank, N.A., we offer a wide range of financial products and services for individuals and businesses. Customers can bank anywhere they see the NYCB logo. Customers can take advantage of being able to bank from virtually anywhere at any time with NYCB Online & Mobile Banking and our bank by phone service.","Regular Hours: M-Th 9am-4pm, F 9am-6pm, Sa-Su Closed (Lobby)","Banks","Fax: (212) 447-9346, TollFree: (877) 786-6560","https://www.mynycb.com/","https://www.yellowpages.com/new-york-ny/mip/atlantic-bank-a-division-of-flagstar-bank-n-a-538332889"
"First Horizon Bank","US","444 Madison Ave 9th Fl","New York","NY","(212) 338-0400","","https://www.firsthorizon.com","Claimed","zero","First Horizon Bank is committed to making your banking experience the best it can be with innovative, convenient services and helpful, knowledgeable people. From your first checking account to the loan you need to build a home or business, we are committed to helping you at every stage of your financial life.","Regular Hours: Call to schedule an appointment.","Banks, Financial Services, Loans, Mortgages, Savings & Loan Associations","Fax: (212) 867-9612","https://www.firsthorizon.com","https://www.yellowpages.com/new-york-ny/mip/first-horizon-bank-567342508"
"Mitsubishi Ufj Trust & Banking Corp","US","520 Madison Ave","New York","NY","(212) 759-9320","","https://www.bk.mufg.jp/global/globalnetwork/americas/newyork.html","Not Claimed","zero","Established in 1986, Mitsubishi UFJ Trust & Banking Corporation (U.S.A.) offers various investment and lending solutions for individuals and business owners. Its range of products includes loans, corporate trusts, bonds and stocks. The company provides custody and asset management services. Mitsubishi UFJ Trust & Banking Corporation (U.S.A.) collects dividends from securities on clients  behalf. It utilizes online data services from several information companies and offers securities  status reports. The company also monitors and manages transaction risks through specific control systems. Mitsubishi UFJ Trust & Banking Corporation (U.S.A.) is a part of Mitsubishi UFJ Trust and Banking Corporation, which is an asset management company.","Do you know the hours for this business?","Banks, Financing Services, Loans","Phone: (212) 782-6800, Phone: (212) 838-7700, Phone: (212) 891-8500, Fax: (212) 915-0228","https://www.bk.mufg.jp/global/globalnetwork/americas/newyork.html","https://www.yellowpages.com/new-york-ny/mip/mitsubishi-ufj-trust-banking-corp-15953455"
"Atlantic Bank, a division of Flagstar Bank, N.A.","US","936 3rd Ave","New York","NY","(212) 355-3160","","https://www.mynycb.com","Claimed","zero","At New York Community Bank, a division of Flagstar Bank, N.A., we offer a wide range of financial products and services for individuals and businesses. Customers can bank anywhere they see the NYCB logo. Customers can take advantage of being able to bank from virtually anywhere at any time with NYCB Online & Mobile Banking and our bank by phone service.","Regular Hours: M-Th 9am-4pm, F 9am-6pm, Sa-Su Closed (Lobby)","Banks","Fax: (212) 980-3082, TollFree: (877) 786-6560","https://www.mynycb.com/","https://www.yellowpages.com/new-york-ny/mip/atlantic-bank-a-division-of-flagstar-bank-n-a-538327606"
"Bank of America","US","1 Pace Plz","New York","NY","(800) 622-8731","","https://locators.bankofamerica.com/ny/newyork/atm-new-york-108050.html","Not Claimed","zero","Welcome to Bank of America ATM in New York, NY, home for a variety of your personal financial needs. Get easy access to your personal accounts with Bank of America ATMs. Access your accounts at thousands of automated teller machines (ATMs). Account customers do not incur fees for withdrawals, transfers and balance inquiries at ATMs displaying the Bank of America name and logo. (Cash advance fees may apply to credit card accounts. Please see your Credit Card Agreement for details.)Bank of America offers you the convenience of the nation's largest talking ATM network. Talking ATMs deliver private spoken instructions through a headset that plugs into an audio jack. Created for people with visual impairments, they feature every capability found at our non-talking ATMs so you can: Get cash, Transfer money between accounts, Check account balances, Make deposits and payments, Complete other transactions (at selected ATMs only).","Do you know the hours for this business?","Banks, Commercial & Savings Banks, Loans","","https://locators.bankofamerica.com/ny/newyork/atm-new-york-108050.html, https://locators.bankofamerica.com/ny/newyork/atm-new-york-110153.html","https://www.yellowpages.com/new-york-ny/mip/bank-of-america-480101275"
"First Republic Bank","US","225 Broadway","New York","NY","(212) 372-3088","","https://www.firstrepublic.com/locations/new-york/downtown-ny?utm_source=extnet&utm_campaign=yext","Claimed","zero","Founded in 1985, First Republic and its subsidiaries offer private banking, private business banking and private wealth management. First Republic specializes in delivering exceptional, relationship-based service and provides a complete line of products, including residential, commercial and personal loans, deposit services, and private wealth management, including investment, brokerage, insurance, trust and foreign exchange services. Services are offered through preferred banking or wealth management offices primarily in San Francisco, Palo Alto, Los Angeles, Santa Barbara, Newport Beach and San Diego, California; Portland, Oregon; Bellevue, Washington; Jackson, Wyoming; Palm Beach, Florida; Boston, Massachusetts; Greenwich, Connecticut; and New York, New York. First Republic is a constituent of the S&P 500 Index and KBW Nasdaq Bank Index. For more information, visit firstrepublic.com.","Regular Hours:Mon:9:00 am - 5:00 pm & SatClosed","Banks, Financial Planning Consultants, Financial Services, Loans, Real Estate Loans","","https://www.firstrepublic.com/locations/new-york/downtown-ny","https://www.yellowpages.com/new-york-ny/mip/first-republic-bank-506456938"
"Citizens","US","110 W Broadway","New York","NY","(212) 771-9020","","https://locations.citizensbank.com/ny/new-york/110-west-broadway.html","Claimed","zero","At Citizens, we are here to help you bank better. So, if you have a question about buying a house, paying for college, saving for retirement, taking on debt in a smart way or any other query about money, don’t keep it to yourself. We have approximately 1,100 Citizens branches in 15 states and around 3,100 ATMs. In addition, our customers stay connected with us online, through our award-winning mobile app and via our customer contact center. Member FDIC. Equal Housing Lender.","Regular Hours:Mon:9:00 am - 5:00 pm & SatClosed","Banks, ATM Locations, Loans, Mortgages","","https://locations.citizensbank.com/ny/new-york/110-west-broadway.html","https://www.yellowpages.com/new-york-ny/mip/citizens-567436918"
"Brown Brothers Harriman & Co","US","140 Broadway","New York","NY","(212) 483-1818","bbhfunds.advisor@bbh.com","http://www.bbh.com/wps/portal/ourfirm/contactus/officelocations/northamerica/newyork","Not Claimed","zero","Founded in 1818, Brown Brothers Harriman & Co. (BBH) is the oldest and largest privately held bank in the U.S. The Firm is well known for its entrepreneurial thinking, leading-edge technology and unmatched attention to its clients. BBH is organized as a general partnership and serves clients in three businesses: Investor Services & Markets, Wealth & Investment Management and Banking & Advisory. The Firm operates a global business through seven U.S. and seven overseas locations. It is headquartered in New York.","Regular Hours:Mon - Fri:9:00 am - 5:00 pm &","Banks, Commercial & Savings Banks, Internet Banking, Investments, Loans, Stock & Bond Brokers, Trust Companies","Phone: (212) 668-7500, Phone: (212) 493-8786, Phone: (212) 208-1457, Phone: (212) 232-5780, Fax: (212) 493-8206, Fax: (212) 493-8429, TollFree: (800) 672-1818","http://www.bbh.com/wps/portal/ourfirm/contactus/officelocations/northamerica/newyork","https://www.yellowpages.com/new-york-ny/mip/brown-brothers-harriman-co-473759630"
"City National Bank","US","250 Vesey St","New York","NY","(212) 597-0111","","https://locations.cnb.com","Not Claimed","zero","Temporarily Closed. At City National, nothing is more important than the health and safety of our clients, colleagues and communities. With that in mind, this City National Bank branch is closed and will remain closed until further notice. Please take advantage of our ATMs, online and mobile banking. City National is safe and well-capitalized. Visit our website home page or contact your Relationship Manager for assistance.","Regular Hours:Mon - Wed:8:30 am - 5:00 pm & ThuClosedFri:8:30 am - 6:00 pm & Sat - SunClosed","Banks, Investment Management, Loans","TollFree: (800) 773-7100","https://locations.cnb.com","https://www.yellowpages.com/new-york-ny/mip/city-national-bank-530577639"
"First Republic Bank","US","163 Canal St","New York","NY","(212) 882-3888","","https://www.firstrepublic.com/locations/new-york/canal-street","Claimed","zero","Founded in 1985, First Republic and its subsidiaries offer private banking, private business banking and private wealth management. First Republic specializes in delivering exceptional, relationship-based service and provides a complete line of products, including residential, commercial and personal loans, deposit services, and private wealth management, including investment, brokerage, insurance, trust and foreign exchange services. Services are offered through preferred banking or wealth management offices primarily in San Francisco, Palo Alto, Los Angeles, Santa Barbara, Newport Beach and San Diego, California; Portland, Oregon; Bellevue, Washington; Jackson, Wyoming; Palm Beach, Florida; Boston, Massachusetts; Greenwich, Connecticut; and New York, New York. First Republic is a constituent of the S&P 500 Index and KBW Nasdaq Bank Index. For more information, visit firstrepublic.com.","Regular Hours:Mon:9:00 am - 5:00 pm & SatClosed","Banks, Financial Services","","https://www.firstrepublic.com/locations/new-york/canal-street","https://www.yellowpages.com/new-york-ny/mip/first-republic-bank-549661696"
"Apple Bank for Saving","US","10 Hanover Sq","New York","NY","(212) 422-2280","","https://www.applebank.com/inform","Not Claimed","zero","Apple Bank, established in 1863, provides consumer and small business banking services in greater New York through its network of 79 branches and online banking platform.","Regular Hours:Mon - Thu:8:30 am - 4:00 pm & Fri:8:30 am - 5:30 pm & Sat - SunClosed","Banks, Insurance, Investments, Savings & Loans","","https://www.applebank.com/inform","https://www.yellowpages.com/new-york-ny/mip/apple-bank-for-saving-477030231"
"PenFed Credit Union","US","55 Water St","New York","NY","(800) 247-5626","comments@penfed.org","https://www.penfed.org","Not Claimed","zero","Our mission is to help our members realize every ounce of their potential. That's why we strive to provide best-in-class rates on loans, savings, and credit cards. In addition, our portfolio of award-winning credit cards offers incentives and innovative features that our competitors find hard to match.","Regular Hours:Mon - Fri:8:30 am - 4:30 pm & Sat - SunClosed","Banks, ATM Locations, Credit Unions","","https://www.penfed.org","https://www.yellowpages.com/new-york-ny/mip/penfed-credit-union-559814056"
"Kingswood Family Office","US","17 Battery Pl Ste 625","New York","NY","(212) 404-7002","","https://www.kingswoodfo.com","Not Claimed","zero","Kingswood Family Office was created to serve the unique needs of founding CEOs, executives, entrepreneurs, doctors, professional athletes, and entertainers. Providing independent, objective advice, its founding partners bring decades of experiences in tax mitigation, insurance, and wealth management with an emphasis on the endowment model of investing. Our firm shares unique relationships with other large investment firms and family offices to ensure access to expertise unavailable at traditional wealth management firms.","Do you know the hours for this business?","Banks","","website","https://www.yellowpages.com/new-york-ny/mip/kingswood-family-office-569510206"
"Siminou Wealth Management","US","17 Battery Pl Ste 625","New York","NY","(516) 647-7146","","https://www.siminouwealthmanagement.com","Not Claimed","zero","As the principal and founder of Siminou Wealth Management Iâ??ve always viewed impactful financial planning and investing sitting at the intersection of people, art and science. First and most importantly my process for helping my clients begins by understanding them as people, not numbers. Their current situation, their goals, and the legacy they want to leave for future generations. I know my clients â?? many of them for decades â?? and they know me. When life changes occur, and they always do, Iâ??m there for them and we go forward together. Effective financial planning needs the artistic creativity to see the world broadly and sometimes differently.","Do you know the hours for this business?","Banks","","website","https://www.yellowpages.com/new-york-ny/mip/siminou-wealth-management-570516164"
"Popular Bank","US","85 Broad St","New York","NY","(800) 377-0800","rgarcia@bpop.com","https://www.popularbank.com","Claimed","zero","Banco Popular North America, headquartered in Chicago, is one of the leading community banks in the United States with more than 140 branches in the states of California, Florida, Illinois, New Jersey, New York and Texas. The bank s core businesses include retail and commercial banking services, mortgage and consumer lending and investments. It ranks among the top four Small Business Administration lenders in the country. Banco Popular North America is a subsidiary of Popular, which was established in 1893 and additionally operates in Puerto Rico, the Caribbean and Latin America. The bank serves a diverse group of more than 500,000 business and individual customers across the U.S. It features complete corporate, commercial real estate and treasury management services through dedicated relationship managers. Banco Popular North America was established in the U.S. in 1961.","Do you know the hours for this business?","Banks, Financial Services, Mortgages","","website","https://www.yellowpages.com/new-york-ny/mip/popular-bank-517439855"
"Valley Bank","US","111 4th Ave","New York","NY","(212) 777-2870","","https://www.valleynationalbank.com/About/Locations.aspx","Not Claimed","zero","Today, our top priority is ensuring your health and safety while continuing to provide the banking services you rely on. That's why we're carefully monitoring local and federal regulations and making sure our staff is prepared to safely serve your needs. With more 200 branch and ATM locations across New Jersey, New York, Florida and Alabama, and digital services like online and mobile banking, we strive to make banking convenient and simple for every one of our customers whether you're managing a checking account or managing your business finances.","Regular Hours:Mon - Fri:9:00 am - 5:00 pm & Sat:9:00 am - 12:00 pm &","Banks, ATM Locations","Phone: (212) 277-2870, TollFree: (800) 522-4100","https://www.valleynationalbank.com/About/Locations.aspx, https://locations.valley.com/ny/newyork/valley-bank-216.html","https://www.yellowpages.com/new-york-ny/mip/valley-bank-19557017"
"The Left Bank","US","77 W 15th St","New York","NY","(646) 342-2161","","https://manhattanskyline.com/contact-manhattan-skyline","Not Claimed","zero","The Left Bank is an elevator building comprised of studios and 1 bedrooms accompanied by laundry facilities, a gym and an attended garage.","Regular Hours:Mon - Sun:10:00 am - 6:00 pm &","Banks","Phone: (212) 691-0680, TollFree: (800) 932-7653","https://manhattanskyline.com/contact-manhattan-skyline","https://www.yellowpages.com/new-york-ny/mip/the-left-bank-456824324"
